O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,state_city,constituency_from_link
1,Anil Nautiyal,Bharatiya Janata Party,2229,1713,2095,1385,2068,1858,2261,1888,3158,2970,2570,2206,1087,Uttarakhand-Karnprayag,Karnprayag
2,Mukesh Negi,Indian National Congress,3148,2148,1927,1409,1792,1602,2400,1824,2222,835,959,800,426,Uttarakhand-Karnprayag,Karnprayag
3,Indresh Maikhuri,Communist Party of India (Marxist-Leninist) (Liberation),43,50,34,20,62,149,58,35,48,18,19,19,20,Uttarakhand-Karnprayag,Karnprayag
4,Umesh Khanduri,Uttarakhand Kranti Dal,7,26,148,87,43,36,29,10,12,13,12,18,13,Uttarakhand-Karnprayag,Karnprayag
5,Dayal Singh Bisht,Aam Aadmi Party,13,22,25,35,105,45,20,32,45,16,28,27,11,Uttarakhand-Karnprayag,Karnprayag
6,Dr Mukesh Pant,Uttarakhand Janekta Party,2,2,8,2,5,5,12,1,7,7,6,5,8,Uttarakhand-Karnprayag,Karnprayag
7,Ranjna Rawat,Nyaydharmsabha,11,19,8,3,7,10,22,87,10,11,21,11,10,Uttarakhand-Karnprayag,Karnprayag
8,Sureshi Devi,Peoples Party of India (Democratic),22,11,8,3,13,11,12,13,13,22,17,16,7,Uttarakhand-Karnprayag,Karnprayag
9,Teeka Prasad Maikhuri,Independent,40,132,159,123,362,215,241,143,186,606,332,281,93,Uttarakhand-Karnprayag,Karnprayag
10,Balwant Singh Negi,Independent,6,10,14,10,19,19,20,20,22,43,113,242,515,Uttarakhand-Karnprayag,Karnprayag
11,Madan Mohan Singh Bhandari,Independent,39,28,30,38,31,35,54,54,110,83,301,51,29,Uttarakhand-Karnprayag,Karnprayag
12,NOTA,None of the Above,53,41,60,47,69,52,89,69,104,92,110,86,49,Uttarakhand-Karnprayag,Karnprayag
