O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,state_city,constituency_from_link
1,KARAN MAHARA,Indian National Congress,898,1424,1258,1128,1438,2049,1518,1935,1673,1322,2370,855,Uttarakhand-Ranikhet,Ranikhet
2,PRAMOD NAINWAL,Bharatiya Janata Party,1274,1803,1807,1769,1631,2290,1796,2124,1787,1848,1835,388,Uttarakhand-Ranikhet,Ranikhet
3,MANOJ KUMAR,Bahujan Samaj Party,13,19,45,40,62,45,40,28,53,35,17,2,Uttarakhand-Ranikhet,Ranikhet
4,TULA SINGH TARIYAL,Uttarakhand Kranti Dal,31,62,25,27,14,18,26,16,20,12,12,9,Uttarakhand-Ranikhet,Ranikhet
5,NANDAN SINGH BISHT,Aam Aadmi Party,28,87,47,47,37,53,29,48,123,39,69,26,Uttarakhand-Ranikhet,Ranikhet
6,SUNITA RIKHARI,Samajwadi Party,7,9,15,8,10,6,6,4,7,13,8,0,Uttarakhand-Ranikhet,Ranikhet
7,DEEPAK KARGETI,Independent,31,46,127,53,40,42,33,37,33,35,27,4,Uttarakhand-Ranikhet,Ranikhet
8,NOTA,None of the Above,36,42,46,37,45,63,30,60,76,53,42,20,Uttarakhand-Ranikhet,Ranikhet
