O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,state_city,constituency_from_link
1,Kishore Upadhyay,Bharatiya Janata Party,1909,1785,2539,2060,1191,1800,2047,1649,1136,1802,1273,Uttarakhand-Tehri,Tehri
2,Dhan Singh Negi,Indian National Congress,637,367,483,374,401,633,511,520,533,930,760,Uttarakhand-Tehri,Tehri
3,Urmila,Uttarakhand Kranti Dal,19,7,13,8,14,17,50,29,28,37,26,Uttarakhand-Tehri,Tehri
4,Trilok Singh Negi,Aam Aadmi Party,94,31,58,23,48,121,203,51,41,30,24,Uttarakhand-Tehri,Tehri
5,Dinesh Dhanai,Uttarakhand Janekta Party,1937,1352,2549,1640,1239,1907,2549,1919,1250,1360,698,Uttarakhand-Tehri,Tehri
6,Prem Dutt,Right to Recall Party,25,12,19,8,9,14,13,13,17,17,13,Uttarakhand-Tehri,Tehri
7,Vijay Semwal,Independent,19,11,14,9,20,23,10,11,31,18,23,Uttarakhand-Tehri,Tehri
8,NOTA,None of the Above,50,28,31,27,42,36,35,29,41,60,28,Uttarakhand-Tehri,Tehri
