O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,state_city,constituency_from_link
1,ASHISH PRATAP SINGH,Bahujan Samaj Party,1344,410,511,677,728,970,725,860,874,773,1058,1374,1460,841,1340,565,675,924,420,515,Uttar Pradesh-Sevata,Sevata
2,MAHENDRA KUMAR SINGH,Samajwadi Party,5190,5201,4152,4619,4368,6020,5233,4575,4295,6116,4894,5018,6267,4643,3076,4028,2654,2643,3216,1411,Uttar Pradesh-Sevata,Sevata
3,DR. VIJAYNATH AWASTHI,Indian National Congress,157,156,142,157,482,129,124,120,245,147,162,162,119,105,85,127,93,95,109,68,Uttar Pradesh-Sevata,Sevata
4,GYAN TIWARI,Bharatiya Janata Party,5388,5645,5635,6658,5077,5405,5022,5725,5358,5197,5245,7091,4511,5632,5631,5668,5236,5491,5485,2880,Uttar Pradesh-Sevata,Sevata
5,SHANTI DEVI,Vikassheel Insaan Party,125,179,171,198,189,157,133,236,291,203,218,248,154,185,291,276,420,283,232,111,Uttar Pradesh-Sevata,Sevata
6,MASTURI KHATUN,Independent,42,52,42,53,51,46,27,55,56,50,52,74,41,35,45,55,53,50,59,26,Uttar Pradesh-Sevata,Sevata
7,NOTA,None of the Above,89,103,95,64,85,108,87,128,141,109,106,122,99,87,99,99,107,106,87,75,Uttar Pradesh-Sevata,Sevata
