O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ADISHAKTI,Indian National Congress,51,86,42,46,71,75,74,91,106,54,130,96,78,75,119,80,115,150,152,112,125,118,72,89,111,106,77,52,26,Uttar Pradesh-Tindwari,Tindwari
2,JAYRAM SINGH,Bahujan Samaj Party,908,1179,972,864,1272,1261,1321,1230,1230,916,988,1526,1563,1388,1309,2104,2094,1666,1751,1711,2359,2090,2008,1142,1334,900,1156,778,247,Uttar Pradesh-Tindwari,Tindwari
3,BRAJESH KUMAR PRAJAPATI,Samajwadi Party,2029,2072,1571,1935,2050,1151,1412,1843,1409,2376,2491,2132,1360,1266,2358,1798,2072,2871,2427,3431,1985,2951,2203,2717,2440,3129,1512,761,164,Uttar Pradesh-Tindwari,Tindwari
4,RAMKESH NISHAD,Bharatiya Janata Party,3272,3128,2975,2394,2711,3951,3725,3805,3919,4011,1861,2661,3815,3540,2620,2505,3822,2591,3025,2185,3276,3254,2996,3336,3501,2034,3742,1410,535,Uttar Pradesh-Tindwari,Tindwari
5,RAMCHANDRA,Communist Party of India,124,126,104,90,103,123,140,153,133,137,55,70,137,135,81,68,85,81,81,76,92,88,51,144,150,80,95,37,28,Uttar Pradesh-Tindwari,Tindwari
6,MOOLCHANDRA,Bhartiya Shakti Chetna Party,32,19,19,19,24,35,48,76,48,39,31,46,44,20,16,31,39,37,21,21,30,35,25,40,41,25,24,24,3,Uttar Pradesh-Tindwari,Tindwari
7,ARVIND KUMAR,Independent,34,34,25,23,32,40,36,44,50,43,23,28,37,40,31,37,45,47,40,29,46,49,22,51,43,31,46,23,6,Uttar Pradesh-Tindwari,Tindwari
8,UTTAM,Independent,22,29,10,22,23,22,22,35,35,28,23,24,25,28,31,33,29,45,29,37,37,57,22,48,44,21,22,12,6,Uttar Pradesh-Tindwari,Tindwari
9,MADHURAJ,Independent,34,35,18,24,40,39,43,48,46,32,29,39,41,31,46,45,45,40,43,39,40,55,43,30,54,49,28,17,9,Uttar Pradesh-Tindwari,Tindwari
10,NOTA,None of the Above,50,44,51,49,67,79,70,100,86,101,54,79,61,71,114,66,83,100,86,82,100,132,76,96,134,90,78,41,24,Uttar Pradesh-Tindwari,Tindwari
