O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,BRAJPAL,Bahujan Samaj Party,1345,1613,1370,96,77,619,1882,1556,1745,2090,1418,1604,2311,1379,1909,1407,1223,2211,3067,1967,423,385,157,467,785,1316,2257,989,2121,59,145,Uttar Pradesh-Nagina,Nagina 
2,MANOJ KUMAR PARAS,Samajwadi Party,2930,2252,3347,5354,4387,5404,3681,4610,2335,2664,2425,3170,2499,3663,3031,2448,4062,2274,1262,3121,4576,4108,6016,3921,3566,3323,2233,1972,1763,228,55,Uttar Pradesh-Nagina,Nagina 
3,DR YASHWANT SINGH,Bharatiya Janata Party,2445,2966,1980,915,2481,1223,2635,1082,2403,3472,3783,2019,3339,1876,2771,3558,1513,2452,2866,2178,1550,3078,360,2721,3239,2379,2407,3201,2765,186,499,Uttar Pradesh-Nagina,Nagina 
4,SHRIMATI HENREITA,Indian National Congress,41,107,38,112,61,98,69,22,48,119,65,61,67,58,62,40,62,68,70,39,24,44,34,50,58,38,43,29,42,3,8,Uttar Pradesh-Nagina,Nagina 
5,ABHINAY KUMAR,Peoples Party of India (Democratic),11,9,17,6,6,7,10,10,12,11,13,11,19,22,9,12,9,19,12,6,6,1,1,61,9,7,9,16,20,0,1,Uttar Pradesh-Nagina,Nagina 
6,ARJUN SINGH,Aam Aadmi Party,8,17,10,5,7,6,2,6,7,10,10,32,9,14,5,2,8,7,11,2,3,1,3,13,3,3,5,6,4,0,2,Uttar Pradesh-Nagina,Nagina 
7,TEJ SINGH,Ambedkar Samaj Party,8,9,6,6,5,4,6,5,12,9,15,9,2,3,8,3,8,24,15,6,5,3,10,9,4,4,12,4,10,0,1,Uttar Pradesh-Nagina,Nagina 
8,LALITA,All India Majlis-E-Ittehadul Muslimeen,184,144,324,440,218,410,247,560,366,347,174,184,73,183,93,88,555,165,118,282,1006,781,933,498,453,148,175,235,99,12,0,Uttar Pradesh-Nagina,Nagina 
9,VIKAS KUMAR,Aazad Samaj Party (Kanshi Ram),10,9,7,4,7,17,4,13,10,13,7,12,27,9,10,13,10,10,17,13,11,7,3,9,6,22,10,9,7,1,0,Uttar Pradesh-Nagina,Nagina 
10,CHANDRAVEER SINGH,Independent,15,17,13,7,4,13,16,12,18,14,21,14,15,12,18,8,21,13,22,11,5,4,1,8,15,12,18,10,10,0,0,Uttar Pradesh-Nagina,Nagina 
11,BRIJPAL SINGH,Independent,18,31,21,16,11,35,22,26,43,33,52,28,43,26,37,39,33,50,25,21,20,33,19,21,24,30,28,38,23,4,1,Uttar Pradesh-Nagina,Nagina 
12,SUNIL KUMAR,Independent,26,22,33,21,17,25,16,29,15,19,18,25,24,16,26,18,12,26,9,16,14,15,7,17,12,12,16,10,13,2,0,Uttar Pradesh-Nagina,Nagina 
13,NOTA,None of the Above,44,41,48,44,38,53,41,50,51,39,40,40,59,59,33,44,46,51,27,46,32,38,30,31,31,27,36,29,29,1,2,Uttar Pradesh-Nagina,Nagina 
