O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,Anurag Singh Bhadouriya,Samajwadi Party,2497,3257,2515,4197,2613,2351,2454,2925,2672,2208,2381,1861,2577,2462,2809,2288,3012,4294,2694,2349,3580,2517,2355,3372,4395,2153,2253,2560,2121,1958,1403,126,153,Uttar Pradesh-Lucknow East,Lucknow East
2,Aashish Kumar Sinha,Bahujan Samaj Party,351,233,244,285,622,322,424,660,431,513,473,189,315,306,276,214,211,158,579,370,318,140,230,228,156,197,314,291,216,174,174,35,39,Uttar Pradesh-Lucknow East,Lucknow East
3,Ashutosh Tandon 'Gopal Ji ',Bharatiya Janata Party,4555,4869,5597,3970,5506,5301,5605,5517,4517,4453,4842,5697,5119,4552,4160,4622,4385,3933,4071,5658,4766,5434,4756,4577,3664,5453,5286,4697,5873,5766,4065,331,397,Uttar Pradesh-Lucknow East,Lucknow East
4,Manoj Tiwari,Indian National Congress,106,101,120,117,121,144,166,158,115,152,163,221,152,139,107,148,122,121,150,213,141,130,147,131,145,161,143,157,162,176,107,10,5,Uttar Pradesh-Lucknow East,Lucknow East
5,Avinash Bharti,Aazad Samaj Party (Kanshi Ram),9,4,12,6,13,5,9,10,12,6,3,5,47,135,165,7,2,4,23,6,61,22,16,18,30,14,2,5,5,16,5,0,0,Uttar Pradesh-Lucknow East,Lucknow East
6,Alok Singh,Aam Aadmi Party,31,58,73,40,88,87,136,139,110,111,110,148,93,85,52,77,58,71,87,114,84,89,57,66,35,74,71,118,98,122,71,3,5,Uttar Pradesh-Lucknow East,Lucknow East
7,Dilip Kumar Rastogi,Bahujan Mukti Party,3,1,2,2,7,5,2,8,5,3,1,0,5,0,1,3,1,3,1,2,3,0,1,3,2,2,4,4,3,1,2,0,1,Uttar Pradesh-Lucknow East,Lucknow East
8,Naimish Pratap Narayan Singh,Rashtriya Rashtrawadi Party,1,2,2,1,3,1,0,0,8,3,2,3,5,2,0,2,5,1,2,0,3,3,3,1,1,3,1,4,0,2,0,0,0,Uttar Pradesh-Lucknow East,Lucknow East
9,Vijay Laxmi Jaiswal,Gandhiyan Peoples Party,3,1,2,2,7,3,1,3,8,2,2,2,7,3,6,2,0,3,2,12,7,4,3,1,3,1,0,2,1,2,6,0,0,Uttar Pradesh-Lucknow East,Lucknow East
10,Vinai Prakash Srivastava,Bhartiya Krishak Dal,7,5,4,1,6,5,3,3,14,5,5,1,7,5,2,2,1,2,6,0,2,1,4,2,6,4,3,3,1,1,7,0,0,Uttar Pradesh-Lucknow East,Lucknow East
11,Ravikant Jha Sintu,Lok Dal,5,3,4,2,5,2,1,6,7,3,1,2,7,4,6,4,3,2,2,1,1,4,7,6,6,5,5,7,0,1,0,0,0,Uttar Pradesh-Lucknow East,Lucknow East
12,Shiva Gupta,Samaj Sevak Party,11,8,3,5,13,4,6,8,11,7,6,1,14,13,6,3,8,3,4,4,4,5,7,14,11,10,5,2,5,4,2,1,0,Uttar Pradesh-Lucknow East,Lucknow East
13,Anurodh Srivastava,Independent,6,13,9,8,11,7,4,7,6,8,4,4,15,7,12,14,6,7,5,1,5,11,11,12,15,1,7,6,2,8,4,1,0,Uttar Pradesh-Lucknow East,Lucknow East
14,Mridul Kumar Srivastava (Advocate),Independent,3,3,3,0,8,5,2,1,17,5,2,3,8,8,2,2,2,3,0,5,3,7,2,2,9,7,12,5,4,2,2,0,0,Uttar Pradesh-Lucknow East,Lucknow East
15,NOTA,None of the Above,39,22,38,46,54,64,50,48,46,58,42,80,64,65,44,49,41,31,51,81,48,51,40,50,49,46,55,65,42,62,52,1,5,Uttar Pradesh-Lucknow East,Lucknow East
