O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Nishat Fatima,Indian National Congress,49,28,58,39,74,42,69,73,95,41,49,42,66,52,97,96,64,51,46,74,54,73,75,59,87,53,69,54,50,38,64,55,92,12,3,Uttar Pradesh-Katehari,Katehari
2,Prateek Pandey,Bahujan Samaj Party,1841,2287,2144,1460,1307,854,1962,2559,2387,1899,2154,1678,1810,1564,1471,1662,2088,1434,1880,2091,1704,1614,1539,1695,1520,1327,1718,1474,1366,1545,1894,1850,1947,294,167,Uttar Pradesh-Katehari,Katehari
3,Lalji Verma,Samajwadi Party,3375,2509,3452,3356,4217,4721,3333,3541,2803,3193,3036,3038,2724,3491,2654,2547,2602,2406,2004,2637,2330,2478,2570,2793,2851,1795,2094,2622,1958,1257,1990,2592,3423,317,99,Uttar Pradesh-Katehari,Katehari
4,Avadhesh Kumar,Nirbal Indian Shoshit Hamara Aam Dal,2904,2459,2036,1584,2115,1718,1940,1865,1970,1926,2072,2172,2494,2459,2412,2037,2885,2622,2609,2123,2745,2363,3060,2677,3581,3436,3765,2857,2638,3341,3525,3216,3233,442,267,Uttar Pradesh-Katehari,Katehari
5,Ashok Kumar Sen,Jan Adhikar Party,82,32,52,35,39,28,29,44,24,34,32,34,47,42,32,28,44,47,28,25,36,33,44,36,48,42,71,30,23,51,54,30,47,2,4,Uttar Pradesh-Katehari,Katehari
6,Ekalakh,Peace Party,14,14,14,9,18,27,22,10,10,22,13,9,13,21,19,12,15,25,23,8,11,20,14,25,21,17,28,14,18,17,15,12,11,1,0,Uttar Pradesh-Katehari,Katehari
7,Omaveer,Bahujan Mukti Party,26,37,28,21,28,24,24,25,14,32,17,18,29,53,60,41,46,24,31,17,23,19,14,23,36,50,120,42,22,21,36,22,16,2,0,Uttar Pradesh-Katehari,Katehari
8,Raghupati,Moulik Adhikar Party,46,42,48,20,32,32,33,36,43,23,39,38,45,33,51,41,39,44,35,35,36,34,43,34,49,38,79,36,37,61,60,60,54,6,3,Uttar Pradesh-Katehari,Katehari
9,Ram Baran Prajapati,Aam Aadmi Party,29,35,17,16,22,25,32,29,31,25,24,24,32,39,45,19,19,35,22,20,22,27,31,26,24,27,40,35,19,28,37,24,26,2,2,Uttar Pradesh-Katehari,Katehari
10,Rinka Gautam,Aazad Samaj Party (Kanshi Ram),34,41,50,28,12,15,32,28,40,22,19,15,29,24,35,25,45,35,38,28,18,18,24,29,36,21,30,22,22,38,38,34,45,3,3,Uttar Pradesh-Katehari,Katehari
11,NOTA,None of the Above,60,40,56,30,37,29,42,31,32,39,26,37,53,29,57,47,55,42,44,29,37,30,46,43,51,39,76,52,46,63,56,54,65,8,5,Uttar Pradesh-Katehari,Katehari
