O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Kuleraj Yadav(Munshi ji),Communist Party of India,102,46,87,129,98,47,72,95,95,68,59,80,63,19,28,66,119,75,65,127,106,104,128,80,101,90,142,91,Uttar Pradesh-Nanpara,Nanpara
2,Madhuri Verma,Samajwadi Party,2885,2820,2032,2109,2107,2938,2275,2488,3344,3740,2821,3709,4601,4700,3489,2103,1776,2308,2525,2173,1955,3098,2431,1675,1777,2573,2762,1960,Uttar Pradesh-Nanpara,Nanpara
3,Dr.A.M. Siddiquie,Indian National Congress,223,36,100,84,104,201,112,86,54,73,53,73,59,43,52,68,55,68,73,61,48,71,67,62,58,68,70,28,Uttar Pradesh-Nanpara,Nanpara
4,Hakikat Ali,Bahujan Samaj Party,872,208,788,1235,941,847,889,653,542,1262,712,406,339,274,472,435,506,550,636,632,288,446,599,1054,547,532,838,402,Uttar Pradesh-Nanpara,Nanpara
5,Tanveer Afsar,Aam Aadmi Party,28,10,26,30,24,16,32,20,16,37,15,17,30,61,20,16,24,16,26,13,17,23,25,37,22,17,27,19,Uttar Pradesh-Nanpara,Nanpara
6,Pradeep Kumar,Sabka Dal United,17,10,15,27,17,7,10,6,15,13,10,12,5,2,5,108,85,56,112,110,71,27,32,73,163,16,22,11,Uttar Pradesh-Nanpara,Nanpara
7,Faujdar,Vikassheel Insaan Party,56,21,33,57,44,30,38,55,40,23,21,29,25,1,11,36,48,36,67,56,76,28,121,55,60,35,63,44,Uttar Pradesh-Nanpara,Nanpara
8,Ram Niwas Verma,Apna Dal (Soneylal),3597,3055,3255,3633,3773,2332,3750,4242,3303,1854,2595,2156,1508,437,1443,3845,4387,3420,3040,4428,4367,2782,2794,3783,4102,2959,3911,2795,Uttar Pradesh-Nanpara,Nanpara
9,Maulana Laik Ahmad Shah,All India Majlis-E-Ittehadul Muslimeen,451,159,123,137,80,130,62,115,167,330,181,224,171,188,96,79,92,183,75,152,97,89,75,94,114,89,108,91,Uttar Pradesh-Nanpara,Nanpara
10,Amarjeet,Independent,49,20,28,33,27,14,24,33,29,21,33,23,13,2,3,23,39,24,28,43,52,24,46,37,33,39,41,17,Uttar Pradesh-Nanpara,Nanpara
11,Pradeep,Independent,42,22,25,57,29,25,39,36,30,34,20,27,14,10,12,21,44,32,19,33,41,29,31,37,24,20,40,23,Uttar Pradesh-Nanpara,Nanpara
12,Brijesh Kumar,Independent,47,11,25,71,27,20,25,42,31,23,28,16,13,1,17,20,31,35,23,31,44,31,37,51,38,30,41,17,Uttar Pradesh-Nanpara,Nanpara
13,Ram Sharan,Independent,76,32,30,44,22,27,16,44,37,56,27,33,11,5,6,16,22,48,21,34,30,28,36,51,33,29,31,17,Uttar Pradesh-Nanpara,Nanpara
14,Santosh Kumar,Independent,67,26,69,79,43,47,35,55,46,52,43,44,23,9,11,43,56,57,52,55,70,56,63,68,79,58,68,36,Uttar Pradesh-Nanpara,Nanpara
15,NOTA,None of the Above,132,47,121,127,88,71,76,95,84,91,93,69,64,19,17,57,116,100,71,77,119,94,124,90,102,86,92,81,Uttar Pradesh-Nanpara,Nanpara
