O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,GOVIND KUMAR,Indian National Congress,36,118,47,43,49,47,37,36,41,52,44,64,42,59,28,67,39,58,34,31,37,74,43,45,50,42,63,76,29,52,18,10,Uttar Pradesh-Bhognipur,Bhognipur
2,JUNED KHAN,Bahujan Samaj Party,1409,2359,1707,1126,1621,2357,1954,1010,2341,2070,1656,423,3784,2335,1014,554,806,1970,2221,1893,810,721,1379,2196,1434,1582,1154,628,852,1100,459,261,Uttar Pradesh-Bhognipur,Bhognipur
3,NARENDRA PAL SINGH,Samajwadi Party,2914,1112,1729,1564,1267,1786,1614,2375,1749,2385,4031,2983,1821,2918,2987,2146,4856,3416,3692,4380,3097,2365,3386,2873,1759,2030,2213,1888,2275,1160,480,156,Uttar Pradesh-Bhognipur,Bhognipur
4,RAKESH SACHAN,Bharatiya Janata Party,2288,3201,2626,3067,3149,2668,3420,3457,3071,2596,1666,2568,1978,2037,2037,3426,1558,2706,1999,1323,1975,4105,2786,1715,3729,3528,4343,4070,4029,4382,937,1047,Uttar Pradesh-Bhognipur,Bhognipur
5,AJENDRA SINGH,Aazad Samaj Party (Kanshi Ram),16,30,38,34,45,30,29,26,37,28,22,56,38,28,38,38,28,41,32,24,29,40,26,35,40,41,67,48,36,82,15,14,Uttar Pradesh-Bhognipur,Bhognipur
6,ASHUTOSH,Aam Aadmi Party,69,58,55,95,145,61,32,56,26,48,53,22,85,18,25,30,15,34,26,12,30,42,26,68,37,64,71,34,19,73,14,3,Uttar Pradesh-Bhognipur,Bhognipur
7,RANDHEER,Peace Party,10,25,12,13,15,16,6,9,12,12,15,21,21,13,20,28,22,19,17,8,15,23,17,13,21,13,14,17,21,22,7,1,Uttar Pradesh-Bhognipur,Bhognipur
8,JAGRAM SINGH,Independent,19,12,19,19,12,25,11,10,20,25,17,21,22,24,24,15,23,22,33,25,27,31,26,19,29,17,23,13,16,20,7,4,Uttar Pradesh-Bhognipur,Bhognipur
9,LAXMI NARAYAN,Independent,25,25,23,20,20,32,10,12,18,10,18,10,15,21,14,12,20,17,24,13,9,8,18,24,30,19,21,15,18,19,6,3,Uttar Pradesh-Bhognipur,Bhognipur
10,NOTA,None of the Above,22,49,43,53,42,40,29,26,33,36,45,39,28,50,46,37,55,52,46,35,40,57,60,31,44,32,62,53,41,48,15,3,Uttar Pradesh-Bhognipur,Bhognipur
