O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,DHIRENDRA PRATAP SINGH URF DHIRU SINGH,Indian National Congress,258,306,216,333,188,234,279,224,298,252,157,249,230,557,265,331,198,588,580,799,681,567,223,391,679,157,398,430,381,656,146,552,502,290,312,Uttar Pradesh-Utraula,Utraula
2,RAM PRATAP,Bahujan Samaj Party,256,319,436,338,141,68,56,289,219,200,183,182,186,167,166,328,532,495,493,388,178,210,209,201,246,495,528,363,145,529,188,173,307,185,224,Uttar Pradesh-Utraula,Utraula
3,RAMPRATAP VERMA URF SHASHIKANT VERMA,Bharatiya Janata Party,2862,2285,2143,1982,2324,3053,2184,2630,1939,2209,2068,1992,2431,3537,3444,1826,1809,2150,1074,2185,2417,3293,3784,3346,2731,2962,3547,3050,3575,2115,2635,1889,2105,2146,1305,Uttar Pradesh-Utraula,Utraula
4,HASIB KHAN,Samajwadi Party,1330,1964,1854,1742,1994,2559,3734,2693,2620,1730,2347,2140,1747,1679,1416,1905,1956,1638,1479,1563,1353,1496,2105,1735,1319,2008,1646,1700,1478,1704,1993,1427,1655,1888,1396,Uttar Pradesh-Utraula,Utraula
5,AJAY KUMAR CHATURVEDI,Republican Sena,19,42,31,27,33,22,44,23,44,31,35,25,26,38,26,15,28,48,30,30,34,26,47,20,26,34,35,28,29,45,30,38,25,33,16,Uttar Pradesh-Utraula,Utraula
6,ABDUL MANNAN,All India Majlis-E-Ittehadul Muslimeen,171,228,240,478,372,361,417,383,364,270,252,178,230,175,161,266,299,436,1034,449,407,224,111,73,80,347,272,253,271,696,300,782,588,527,592,Uttar Pradesh-Utraula,Utraula
7,MUSTAQEEM AHMAD,Aam Aadmi Party,9,7,9,6,10,5,3,5,5,8,9,11,7,10,5,7,4,15,7,7,15,9,14,5,14,20,15,12,8,11,7,10,11,10,6,Uttar Pradesh-Utraula,Utraula
8,PREMLAL,Independent,9,10,10,5,9,4,2,4,7,8,6,10,8,15,5,9,3,5,8,8,9,8,11,9,6,16,14,7,11,18,10,7,10,8,9,Uttar Pradesh-Utraula,Utraula
9,SAHBAJ FARAZ KHAN,Independent,18,11,18,11,15,15,5,12,22,15,15,24,19,32,16,16,19,22,11,15,21,20,27,21,21,27,32,21,18,27,18,15,146,18,16,Uttar Pradesh-Utraula,Utraula
10,SANCHIT,Independent,36,23,19,30,37,14,7,14,19,28,24,35,33,49,20,22,30,32,18,25,31,26,61,26,30,35,29,44,31,38,23,26,26,27,25,Uttar Pradesh-Utraula,Utraula
11,GYAN CHANDRA,Independent,98,74,82,50,101,36,18,58,64,46,69,90,78,122,98,51,71,88,69,90,121,97,128,65,80,109,126,140,116,78,99,81,58,86,74,Uttar Pradesh-Utraula,Utraula
12,GYANENDRA KUMAR MISHRA,Independent,21,10,24,17,24,7,4,21,21,20,23,15,19,40,20,17,13,26,7,24,25,16,28,21,41,26,31,35,19,22,25,18,11,18,11,Uttar Pradesh-Utraula,Utraula
13,NOTA,None of the Above,44,45,57,36,52,31,18,45,52,32,38,29,39,60,56,31,37,54,42,70,73,55,69,41,45,61,60,59,40,49,50,51,35,24,29,Uttar Pradesh-Utraula,Utraula
