O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Nitin Verma,Bahujan Samaj Party,851,2861,1900,2091,2204,2433,2392,2052,2918,1538,1484,1741,2622,918,2500,2162,1594,1748,1151,2146,1330,1531,1449,1297,2296,1004,1878,361,3,Uttar Pradesh-Bah,Bah
2,Rani Pakshalika Singh,Bharatiya Janata Party,4186,2381,3429,2197,3045,2503,2143,3913,2701,3426,2872,4072,2904,3385,2709,2743,2726,2528,3447,2210,1824,2099,2900,3030,2391,2623,1867,1487,220,Uttar Pradesh-Bah,Bah
3,Madhusudan Sharma,Samajwadi Party,1305,2056,1501,3211,1948,1672,1804,1486,1203,2137,1384,1080,1747,1213,1931,1683,2823,2719,2435,2530,2428,2686,2606,1740,1643,1869,1513,1275,152,Uttar Pradesh-Bah,Bah
4,Manoj Dixit,Indian National Congress,27,35,21,41,56,29,35,23,32,35,31,25,22,20,32,48,30,33,59,41,37,202,39,83,50,75,37,17,3,Uttar Pradesh-Bah,Bah
5,Neeraj Kumar Karauria,Aam Aadmi Party,14,40,26,20,38,56,67,13,20,53,159,119,29,3,8,126,12,11,15,56,4,9,12,19,9,6,10,2,0,Uttar Pradesh-Bah,Bah
6,Styendra Baghel,Rashtriya Samaj Paksha,6,5,6,8,7,4,3,1,6,2,4,4,5,4,3,7,5,2,2,2,3,6,2,10,3,3,4,2,0,Uttar Pradesh-Bah,Bah
7,Sarvesh Kumar,Bharatiya Majdoor Janta Party,5,9,2,10,10,8,11,6,3,8,8,6,4,7,6,6,3,3,3,7,6,3,8,5,7,6,5,1,0,Uttar Pradesh-Bah,Bah
8,Ashok Kumar,Independent,2,6,3,8,11,6,4,7,6,8,4,5,10,1,8,5,1,5,10,5,5,6,10,6,6,5,7,1,0,Uttar Pradesh-Bah,Bah
9,Kaushal Kishor,Independent,2,6,4,7,11,4,5,5,4,6,9,5,6,3,9,7,5,7,5,2,2,5,5,10,8,7,3,2,0,Uttar Pradesh-Bah,Bah
10,Naresh,Independent,8,6,7,11,18,8,12,10,15,11,6,15,13,9,11,7,9,5,9,8,5,11,11,12,16,11,11,5,3,Uttar Pradesh-Bah,Bah
11,Brijendra Singh,Independent,21,38,20,23,44,17,28,21,19,25,24,17,16,9,24,14,19,22,18,21,18,20,16,20,26,12,11,12,1,Uttar Pradesh-Bah,Bah
12,Rambaran,Independent,13,19,9,13,19,8,14,8,14,14,15,10,19,8,16,14,15,15,7,16,12,12,10,12,12,10,9,4,1,Uttar Pradesh-Bah,Bah
13,Vijay Pratap Singh,Independent,18,24,24,31,45,15,32,35,23,19,17,13,18,15,12,28,22,24,25,37,29,40,19,17,27,21,14,13,6,Uttar Pradesh-Bah,Bah
14,Sukhram,Independent,38,29,31,22,39,29,25,27,24,22,32,35,29,34,20,22,27,29,22,23,26,35,22,38,42,27,22,11,2,Uttar Pradesh-Bah,Bah
15,NOTA,None of the Above,41,86,91,73,102,61,102,99,94,54,60,60,78,46,86,62,74,49,53,41,60,55,50,57,71,54,52,19,6,Uttar Pradesh-Bah,Bah
