O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Gajendra Singh,Indian National Congress,759,339,415,359,414,418,539,207,267,739,538,429,376,218,336,343,166,357,500,352,430,1277,321,592,282,166,320,193,320,409,325,408,104,46,Uttar Pradesh-Anupshahr,Anupshahr
2,Rameshvar,Bahujan Samaj Party,1290,1585,1257,644,1018,1213,1617,1185,1324,1369,1274,1813,1208,2152,2293,784,1735,315,1346,1553,1033,1033,1861,2526,1756,1690,1709,2202,2221,2525,321,1164,350,323,Uttar Pradesh-Anupshahr,Anupshahr
3,K.K. Sharma,Nationalist Congress Party,1122,970,753,2056,2532,1923,1239,1040,1293,2415,1906,866,1329,994,1490,1895,765,2088,1512,704,3230,1224,660,186,1434,518,1921,558,212,448,1508,3140,10,84,Uttar Pradesh-Anupshahr,Anupshahr
4,Sanjay Kumar Sharma,Bharatiya Janata Party,3574,3879,5520,4532,3170,4519,4910,4481,4971,2694,3088,3603,3105,3489,3670,4591,5744,4981,3968,5841,1374,2565,2563,3265,2826,3926,4121,4768,4392,2850,4047,2746,802,303,Uttar Pradesh-Anupshahr,Anupshahr
5,Anita,Vikassheel Insaan Party,37,32,63,31,21,31,47,211,31,14,49,24,34,31,73,21,32,30,20,43,22,30,21,128,29,39,70,45,33,29,15,31,20,2,Uttar Pradesh-Anupshahr,Anupshahr
6,Rashmi,Shiv Sena,3,13,8,8,3,11,12,15,7,8,8,13,13,4,10,8,18,6,10,10,5,14,11,8,19,18,7,10,9,14,7,9,4,1,Uttar Pradesh-Anupshahr,Anupshahr
7,Sakir,Aazad Samaj Party (Kanshi Ram),10,12,19,27,40,43,26,7,9,7,11,14,14,10,20,5,15,6,11,15,8,13,5,9,16,10,19,11,10,8,5,16,3,1,Uttar Pradesh-Anupshahr,Anupshahr
8,Harendra Singh,Aam Aadmi Party,22,18,20,23,16,19,35,32,21,10,30,34,95,29,16,27,31,33,26,30,18,77,116,25,34,34,47,20,36,41,38,31,3,5,Uttar Pradesh-Anupshahr,Anupshahr
9,Bhupendra Singh,Independent,21,25,42,20,15,25,37,41,31,12,20,28,23,17,16,24,25,19,28,38,16,18,30,27,19,22,24,23,19,95,14,36,7,1,Uttar Pradesh-Anupshahr,Anupshahr
10,Satendera Singh,Independent,30,36,39,54,33,49,39,42,62,40,57,28,64,20,51,31,17,32,26,23,50,22,22,11,42,26,108,36,15,21,21,108,5,2,Uttar Pradesh-Anupshahr,Anupshahr
11,Hukam Singh,Independent,11,25,27,12,8,15,28,32,21,23,28,26,28,31,22,8,29,6,15,36,18,21,26,50,24,29,36,35,32,35,7,19,8,1,Uttar Pradesh-Anupshahr,Anupshahr
12,NOTA,None of the Above,25,37,67,36,27,53,58,38,49,38,49,39,37,31,40,37,47,31,23,54,30,38,31,43,40,30,70,44,42,39,30,70,13,6,Uttar Pradesh-Anupshahr,Anupshahr
