O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,ABHA CHAUDHARY,Indian National Congress,58,40,178,262,54,66,27,62,55,69,49,46,35,47,21,26,24,50,28,47,22,52,52,44,52,38,48,49,35,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
2,MADAN CHAUHAN,Bahujan Samaj Party,923,1543,1343,2009,2251,2478,1274,1776,1348,2141,1494,1420,1737,1202,691,781,1109,628,1341,1761,1213,1346,2039,1676,1627,1847,985,2371,1361,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
3,RAVINDER CHAUDHARY,Samajwadi Party,4833,1821,990,1034,1635,1669,3939,1823,2722,1610,1745,5633,2328,2740,5832,3386,6132,2810,2631,1197,4592,2993,2194,2042,649,796,3893,1248,2512,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
4,HARENDRA SINGH,Bharatiya Janata Party,2452,4245,4151,4075,3277,3329,2511,4537,4008,3291,4149,639,3790,2880,1400,3007,1233,3865,3177,5360,2806,4209,4170,3774,4885,5746,4312,4398,3768,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
5,GOPAL SHARMA,All India Hindustan Congress Party,29,37,26,12,22,29,25,30,33,20,51,8,32,22,12,20,19,27,19,36,23,42,38,32,32,34,38,24,29,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
6,GHANSHYAM,Aazad Samaj Party (Kanshi Ram),24,27,46,11,6,11,8,22,25,33,24,5,11,15,28,15,6,18,12,11,16,21,8,15,12,12,19,16,14,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
7,NARENDRA SINGH,Aam Aadmi Party,13,17,28,65,13,23,28,16,20,25,27,9,19,13,18,21,21,47,18,20,12,18,17,19,9,20,19,12,18,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
8,FURKAN,All India Majlis-E-Ittehadul Muslimeen,433,39,12,12,17,125,457,84,62,45,105,414,45,57,567,452,657,110,267,23,258,138,46,78,19,30,193,69,48,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
9,VIRENDRA SINGH PRAJAPATI,Jan Adhikar Party,33,21,19,15,22,31,39,23,15,23,30,18,19,28,33,14,19,29,25,7,27,26,24,13,17,16,30,15,24,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
10,SHIVKUMAR CHAUHAN,Independent,17,21,16,23,24,29,18,15,12,21,16,19,25,14,11,8,8,10,13,16,11,20,21,17,16,11,17,15,14,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
11,NOTA,None of the Above,35,24,26,23,30,34,22,32,21,14,26,38,25,19,19,19,28,17,29,21,30,37,38,31,26,24,44,24,50,Uttar Pradesh-Garhmukteshwar,Garhmukteshwar
