O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,JAYSHYAM,Bahujan Samaj Party,895,755,1068,1297,1167,850,950,1195,2005,1530,1461,1865,1951,1382,1752,1412,1738,2627,2127,1721,2680,1156,1303,1389,2576,1670,1594,1387,Uttar Pradesh-Sakaldiha,Sakaldiha
2,DEVENDRA PRATAP,Indian National Congress,86,188,159,208,136,222,170,99,123,165,97,155,194,191,291,121,80,194,87,105,289,587,192,185,172,224,229,161,Uttar Pradesh-Sakaldiha,Sakaldiha
3,PRABHU NARAYAN YADAV,Samajwadi Party,4939,2785,3709,2650,3123,4068,3059,2973,2890,4012,3145,2570,3329,2776,2535,3243,4105,2962,3541,2367,2793,2506,2727,2594,2669,1882,2870,2487,Uttar Pradesh-Sakaldiha,Sakaldiha
4,SURYAMUNI TIWARI,Bharatiya Janata Party,1660,2818,2187,2852,2370,1089,2340,2159,2226,2104,2423,2304,2581,2617,2713,3707,1978,2538,2307,2610,2078,3762,3099,2408,1829,3182,3120,2204,Uttar Pradesh-Sakaldiha,Sakaldiha
5,CHANDA,Jan Adhikar Party,95,127,165,31,74,96,219,172,240,125,121,66,75,97,196,47,270,249,134,35,131,68,84,59,151,180,119,95,Uttar Pradesh-Sakaldiha,Sakaldiha
6,RAVIKANT VISHWAKARMA,Aam Janta Party (India),14,15,7,15,14,11,19,51,21,7,18,12,15,14,7,7,32,14,10,7,18,17,13,13,7,10,17,10,Uttar Pradesh-Sakaldiha,Sakaldiha
7,RAMDHARI YADAV,Rashtriya Krishak Dal,20,16,23,15,29,31,21,18,18,14,19,11,12,25,23,23,17,22,12,5,10,19,24,19,18,11,10,11,Uttar Pradesh-Sakaldiha,Sakaldiha
8,SHAMEEM RAYIN,Bahujan Mukti Party,16,16,26,65,19,29,22,24,20,30,29,82,17,12,18,15,20,20,15,2,20,24,25,15,9,8,15,16,Uttar Pradesh-Sakaldiha,Sakaldiha
9,SHYAM LAL SHARMA,Moulik Adhikar Party,19,20,25,26,17,27,14,25,34,13,28,21,18,20,25,23,28,22,17,12,13,21,23,26,19,19,15,21,Uttar Pradesh-Sakaldiha,Sakaldiha
10,NOTA,None of the Above,55,49,75,39,38,36,53,41,89,59,35,49,76,64,49,65,80,64,49,41,45,66,79,37,44,61,65,63,Uttar Pradesh-Sakaldiha,Sakaldiha
