O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,ANJULA SINGH MAHAUR,Bharatiya Janata Party,4979,4382,4271,4645,4585,4811,5724,4005,4252,4239,4969,4297,3966,3960,3590,4204,4310,3808,4874,5385,4990,5464,3503,2126,5024,3799,3091,5479,5307,4568,3938,4552,3717,3566,4338,1459,Uttar Pradesh-Hathras,Hathras 
2,Kuldeep Kumar Singh,Indian National Congress,76,58,77,44,56,42,107,108,34,49,55,131,95,85,81,85,65,64,84,78,73,79,39,38,134,42,52,57,65,74,43,68,29,64,68,27,Uttar Pradesh-Hathras,Hathras 
3,BRAJ MOHAN RAHI,Samajwadi Party,1084,2208,1472,1557,704,1736,926,1134,694,1081,1657,894,1545,1139,1208,1721,1365,2771,991,846,757,1290,1567,1848,1184,714,832,1458,1419,1385,1259,991,1129,1669,2033,332,Uttar Pradesh-Hathras,Hathras 
4,SANJEEV KUMAR,Bahujan Samaj Party,2249,1459,1383,1153,1355,1790,624,2765,1943,2953,1643,2171,1481,1664,2945,1635,1019,244,346,370,897,96,636,2327,1586,1319,2922,1583,1488,1451,1771,1265,1463,845,1936,843,Uttar Pradesh-Hathras,Hathras 
5,Kishan Singh,Aam Aadmi Party,25,21,17,20,14,15,14,28,30,54,40,15,17,31,32,28,12,11,9,20,17,12,9,15,24,22,28,17,18,15,21,16,23,98,34,8,Uttar Pradesh-Hathras,Hathras 
6,DEVENDRA SINGH,Shiv Sena,8,11,14,11,7,6,1,9,12,11,39,26,2,3,14,16,4,3,3,10,5,3,10,3,3,4,4,8,4,25,13,8,4,11,6,2,Uttar Pradesh-Hathras,Hathras 
7,RATN SINGH,Peace Party,3,23,7,5,23,9,2,3,2,9,11,9,10,1,8,6,2,3,2,4,1,3,1,3,2,3,3,4,13,4,3,0,4,2,3,1,Uttar Pradesh-Hathras,Hathras 
8,VEVI DHANGAR,Lok Dal,34,24,6,22,7,11,7,15,6,10,16,21,2,7,6,11,6,19,1,0,6,2,7,9,9,2,15,11,9,14,9,7,3,3,7,3,Uttar Pradesh-Hathras,Hathras 
9,SON PAL,Jan Adhikar Party,11,0,2,6,3,8,2,3,12,9,8,3,3,4,4,12,3,6,1,2,2,2,9,4,8,2,4,5,22,6,2,10,11,6,3,2,Uttar Pradesh-Hathras,Hathras 
10,AJIT KUMAR,Independent,4,5,7,3,4,2,4,5,7,3,10,3,2,4,5,3,3,3,5,1,1,3,1,2,9,1,3,3,6,6,2,4,2,5,3,1,Uttar Pradesh-Hathras,Hathras 
11,UDAYVEER,Independent,5,5,11,8,8,11,7,10,7,12,4,3,8,4,3,11,6,0,3,0,2,1,1,2,7,1,6,8,6,7,8,3,2,6,4,6,Uttar Pradesh-Hathras,Hathras 
12,DINESH SAI,Independent,7,14,11,10,8,11,6,17,9,28,14,24,7,10,13,24,9,6,5,2,14,2,10,8,12,7,2,20,14,9,4,10,12,4,5,4,Uttar Pradesh-Hathras,Hathras 
13,SUBHASH CHAND,Independent,6,11,5,10,12,15,6,10,12,41,20,9,9,7,7,11,3,7,3,1,3,2,6,8,4,6,6,10,6,7,10,6,3,9,6,5,Uttar Pradesh-Hathras,Hathras 
14,SONU KUMAR,Independent,11,5,3,10,10,10,10,7,16,13,12,3,8,12,9,16,4,8,2,5,1,4,12,5,8,4,7,11,13,4,9,3,14,7,9,7,Uttar Pradesh-Hathras,Hathras 
15,NOTA,None of the Above,68,50,36,40,43,57,74,51,42,58,68,65,46,58,54,43,54,42,25,42,34,43,39,34,68,31,39,68,63,44,82,64,34,38,53,13,Uttar Pradesh-Hathras,Hathras 
