O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Anil Rajbhar,Bharatiya Janata Party,4089,4358,5571,4981,3718,5188,5236,6398,5036,3336,5062,3142,2361,4017,3411,2752,3062,2465,3182,2765,4390,4240,4114,1375,2846,3790,5304,4799,3918,Uttar Pradesh-Shivpur,Shivpur
2,Girish,Indian National Congress,89,101,149,159,122,91,134,284,166,82,163,164,89,80,77,66,84,69,84,78,81,75,103,68,110,137,194,146,147,Uttar Pradesh-Shivpur,Shivpur
3,Ravi Maurya,Bahujan Samaj Party,1494,1779,737,642,1045,852,1186,1169,1417,2266,1863,2217,2133,1841,1802,1574,2000,1976,2409,1136,1764,1751,1437,198,684,933,591,866,667,Uttar Pradesh-Shivpur,Shivpur
4,Arvind Rajbhar,Suheldev Bharatiya Samaj Party,3118,2594,2383,1758,2480,3061,2587,1902,3051,3076,2209,3298,3127,3598,3498,3705,1929,2956,2563,1941,3235,3220,2683,7490,5362,3861,1753,2594,2043,Uttar Pradesh-Shivpur,Shivpur
5,Usha,Aam Janta Party (India),51,34,26,24,47,57,53,41,58,53,50,42,42,26,51,48,37,43,47,24,37,71,57,31,33,35,45,36,30,Uttar Pradesh-Shivpur,Shivpur
6,Manoj Kumar Maurya,Jan Adhikar Party,78,25,23,21,30,26,31,27,80,108,85,40,29,93,27,47,35,63,31,78,38,140,52,34,89,46,23,27,44,Uttar Pradesh-Shivpur,Shivpur
7,NOTA,None of the Above,72,104,85,79,87,87,105,77,104,86,91,59,75,89,57,80,54,57,73,55,106,82,71,78,78,79,66,94,56,Uttar Pradesh-Shivpur,Shivpur
