O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,Chandra Prakash Mishra Matiyari,Bharatiya Janata Party,3265,2695,2800,1467,2596,2676,2173,2805,2338,2811,2987,2676,2374,1879,3240,2531,2341,2258,2153,2638,2211,2360,2283,1628,3245,2419,1927,2815,2331,Uttar Pradesh-Gauriganj,Gauriganj
2,Fateh Bahadur,Indian National Congress,435,421,677,1028,1031,447,576,819,539,375,486,361,791,1582,506,601,1324,804,876,988,1415,1529,2678,2185,1406,857,1381,1059,1739,Uttar Pradesh-Gauriganj,Gauriganj
3,Rakesh Pratap Singh,Samajwadi Party,2508,2467,2401,2887,2898,2617,2884,2690,2956,2500,3685,1899,2609,2083,2494,3317,3200,2750,2352,2679,3191,3100,2604,2069,3141,2532,2709,3029,2389,Uttar Pradesh-Gauriganj,Gauriganj
4,Ramlakhan,Bahujan Samaj Party,420,374,563,331,516,313,1244,715,419,191,329,196,148,188,270,300,282,577,349,318,332,218,119,143,202,203,150,180,252,Uttar Pradesh-Gauriganj,Gauriganj
5,Chaudhary Nafees Ahamad,Jansatta Dal Loktantrik,107,51,61,251,105,41,75,105,97,260,193,1602,458,1960,350,112,61,60,95,97,65,52,144,181,90,213,64,64,37,Uttar Pradesh-Gauriganj,Gauriganj
6,Shiv Prasad,Aam Aadmi Party,30,25,46,51,22,22,85,51,30,60,88,97,41,101,58,33,41,56,48,60,319,63,28,24,36,49,34,22,40,Uttar Pradesh-Gauriganj,Gauriganj
7,Mohd. Hasan Lahri,Lok Dal,20,20,22,11,20,15,22,31,15,20,19,12,16,15,27,18,15,22,19,14,30,19,15,15,25,11,17,22,16,Uttar Pradesh-Gauriganj,Gauriganj
8,Sarita,Independent,27,18,26,14,14,23,29,38,33,26,32,16,28,25,25,28,28,29,22,18,29,17,15,25,21,16,33,26,32,Uttar Pradesh-Gauriganj,Gauriganj
9,Hari Baksh,Independent,33,32,40,32,43,27,48,42,34,38,26,26,25,36,42,28,36,38,19,23,50,23,41,43,37,27,29,36,44,Uttar Pradesh-Gauriganj,Gauriganj
10,NOTA,None of the Above,84,70,78,24,71,65,78,75,72,89,98,61,75,57,80,60,82,71,39,56,57,63,56,50,71,57,48,65,67,Uttar Pradesh-Gauriganj,Gauriganj
