O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,DHANANJAY,Indian National Congress,84,84,98,81,84,58,64,53,80,102,105,84,63,78,75,112,105,71,77,71,76,56,95,79,48,52,83,88,52,Uttar Pradesh-Khadda,Khadda
2,DR. NISAR AHMAD SIDDIQUE,Bahujan Samaj Party,576,1014,596,251,801,751,423,955,1308,522,809,772,957,868,595,794,806,377,386,1029,580,698,651,343,630,676,618,797,343,Uttar Pradesh-Khadda,Khadda
3,MD AKHTAR WASEEM,All India Majlis-E-Ittehadul Muslimeen,222,348,427,610,345,341,213,601,852,461,583,993,690,513,1968,836,292,283,1539,343,887,980,350,289,316,471,255,217,173,Uttar Pradesh-Khadda,Khadda
4,ASHOK CHAUHAN,Suheldev Bharatiya Samaj Party,767,780,677,684,1259,987,1273,1376,835,750,991,415,1153,671,756,494,807,464,495,662,483,299,329,1031,398,377,351,693,657,Uttar Pradesh-Khadda,Khadda
5,OM PRAKASH,Vikassheel Insaan Party,68,94,32,26,175,85,214,99,45,48,43,33,66,40,36,40,36,45,30,29,42,22,51,77,40,34,20,32,12,Uttar Pradesh-Khadda,Khadda
6,NAVAL KISHOR,Aam Janta Party (India),42,38,22,20,40,31,38,37,31,39,23,31,44,40,39,31,41,40,26,30,45,26,35,40,23,26,15,29,18,Uttar Pradesh-Khadda,Khadda
7,RAJKUMAR,Aam Aadmi Party,81,56,41,40,70,47,100,60,47,54,53,34,37,47,56,37,57,67,54,47,42,25,53,51,40,48,35,41,23,Uttar Pradesh-Khadda,Khadda
8,VIVEKA NAND PANDEY,Nirbal Indian Shoshit Hamara Aam Dal,3987,3660,3964,3969,3380,3278,3140,2331,3051,3871,2527,3095,2728,3033,2690,2718,2889,4082,2305,2574,2506,1568,4122,3821,3144,3099,1566,2982,2019,Uttar Pradesh-Khadda,Khadda
9,KM POONAM RANI,Independent,61,46,65,54,75,72,63,53,54,59,70,47,67,59,53,71,71,75,72,61,70,50,72,67,46,63,54,68,38,Uttar Pradesh-Khadda,Khadda
10,RAMCHANDRA SINGH,Independent,41,44,38,30,34,50,34,41,35,57,59,36,46,35,48,35,42,50,43,39,74,48,63,35,26,50,56,48,25,Uttar Pradesh-Khadda,Khadda
11,VIJAY PRATAP KUSHWAHA,Independent,1022,1001,1970,1557,556,1575,1360,1166,1084,2088,1658,1495,1133,1948,701,1261,1511,1474,1546,2253,2918,2108,1419,1123,2213,2129,3646,1964,773,Uttar Pradesh-Khadda,Khadda
12,NOTA,None of the Above,105,84,110,62,104,126,106,105,100,101,96,103,162,102,99,96,112,87,114,105,106,83,102,86,85,127,119,130,50,Uttar Pradesh-Khadda,Khadda
