O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,GAURAV NAND,Bahujan Samaj Party,570,621,577,1213,386,1291,1558,188,257,240,196,143,158,496,335,1094,834,485,398,390,427,514,242,413,497,247,1011,1336,385,565,Uttar Pradesh-Mainpuri,Mainpuri
2,JAYVEER SINGH,Bharatiya Janata Party,3035,3142,3196,3181,2905,3257,3391,4142,2941,4067,4401,4397,3531,3815,3863,4590,2435,2966,2858,3239,3245,2420,4252,3445,3640,3098,3666,2284,1677,2366,Uttar Pradesh-Mainpuri,Mainpuri
3,RAJKUMAR URF RAJU YADAV,Samajwadi Party,3010,2487,2485,3287,4417,2663,2614,2070,4118,2462,2043,2111,1890,2604,2286,2732,3826,3166,4485,2893,3794,3789,3514,2421,2513,2918,3172,3249,4890,4272,Uttar Pradesh-Mainpuri,Mainpuri
4,VINEETA,Indian National Congress,61,128,112,158,64,56,67,54,52,64,70,84,78,132,88,151,59,132,72,89,61,77,125,63,70,106,124,62,31,50,Uttar Pradesh-Mainpuri,Mainpuri
5,NOTA,None of the Above,31,21,31,45,30,38,42,29,28,17,23,31,33,33,48,49,28,29,42,36,39,29,21,17,44,30,42,24,18,24,Uttar Pradesh-Mainpuri,Mainpuri
