O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,PINKI SINGH,Samajwadi Party,5670,5525,2276,2688,2576,1576,1759,1831,4180,3668,1216,2090,3079,3590,2829,4683,2354,3267,2916,3601,1968,3155,5178,3452,4672,3400,5065,4393,4816,2490,3332,3064,3356,1555,Uttar Pradesh-Asmoli,Asmoli
2,MARGHOOB ALAM,Indian National Congress,53,78,30,35,75,41,50,32,36,37,36,24,18,40,56,50,34,104,132,43,22,26,61,37,12,51,52,26,63,25,34,27,41,25,Uttar Pradesh-Asmoli,Asmoli
3,RAFATULLA,Bahujan Samaj Party,384,1569,2322,1468,2168,1525,2256,2212,639,1222,2195,2160,682,996,1307,1172,1716,887,1436,1859,2180,1117,683,1209,880,1837,560,183,356,626,611,623,801,598,Uttar Pradesh-Asmoli,Asmoli
4,HARENDRA KUMAR,Bharatiya Janata Party,1471,1246,3345,4178,2286,4493,3077,3695,2597,2441,4060,2715,1459,1937,2636,2077,3523,3393,2048,2246,2835,3811,1983,2987,951,2463,2206,1304,1765,3254,2405,2695,2019,627,Uttar Pradesh-Asmoli,Asmoli
5,ANJU,Aam Aadmi Party,9,17,23,36,9,48,21,30,38,37,33,19,13,22,20,20,26,27,15,27,17,45,23,21,11,20,37,13,26,29,21,23,31,6,Uttar Pradesh-Asmoli,Asmoli
6,SHAKEEL AHMED,All India Majlis-E-Ittehadul Muslimeen,708,723,57,171,237,113,208,225,38,16,11,192,1770,1230,454,825,392,504,928,907,613,193,659,298,672,231,9,14,10,43,25,25,462,56,Uttar Pradesh-Asmoli,Asmoli
7,GUFRAN KHAN,Independent,4,8,6,6,4,7,7,6,8,6,6,5,15,13,3,7,4,1,11,12,9,7,8,7,0,8,3,1,6,9,5,1,3,1,Uttar Pradesh-Asmoli,Asmoli
8,TAUFEEQ,Independent,9,9,9,10,5,11,3,14,4,7,9,13,9,7,9,2,7,10,10,17,3,8,10,7,1,8,9,5,10,8,7,4,7,3,Uttar Pradesh-Asmoli,Asmoli
9,NAVKESH,Independent,6,9,23,14,14,20,22,24,16,23,22,20,15,20,13,17,18,20,26,24,21,21,24,21,12,23,23,11,20,32,31,24,20,5,Uttar Pradesh-Asmoli,Asmoli
10,PAVAN KUMAR,Independent,4,15,16,10,13,16,12,21,15,20,11,23,10,16,16,9,14,15,16,27,20,10,14,17,11,24,17,6,12,21,14,13,9,6,Uttar Pradesh-Asmoli,Asmoli
11,MAHAVEER,Independent,11,40,14,14,27,11,16,19,39,41,15,13,30,23,19,29,19,16,18,17,19,24,31,26,20,25,41,21,34,30,28,13,32,10,Uttar Pradesh-Asmoli,Asmoli
12,NOTA,None of the Above,29,58,38,33,32,35,40,62,78,78,30,27,51,75,22,50,35,39,45,72,33,83,80,43,46,75,83,61,84,75,63,62,43,27,Uttar Pradesh-Asmoli,Asmoli
