O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,JAGRAM PASWAN,Samajwadi Party,3533,2929,2054,2841,2261,2436,2623,1767,1821,3720,2562,2514,3451,1924,2098,2000,2423,3112,3603,2699,2218,2543,1990,2727,2620,2704,2887,2200,2487,2621,2560,2454,3224,2721,1165,181,Uttar Pradesh-Balrampur,Balrampur 
2,PALTOO RAM,Bharatiya Janata Party,2701,3310,3869,2945,3429,3823,3602,3324,2805,1496,2706,3509,1672,3407,3323,3163,3040,2712,1929,3765,3396,4010,3686,3423,3074,2179,2343,3157,3328,2603,2126,1660,1710,2691,768,212,Uttar Pradesh-Balrampur,Balrampur 
3,BABITA,Indian National Congress,100,102,100,105,95,103,70,54,32,46,53,60,44,85,84,71,76,67,65,86,94,103,108,121,75,59,51,71,84,56,50,45,52,72,30,5,Uttar Pradesh-Balrampur,Balrampur 
4,HARI RAM,Bahujan Samaj Party,274,283,154,423,266,306,175,93,57,27,21,122,64,165,441,170,195,157,137,98,182,172,342,198,146,88,87,71,91,79,51,63,58,45,20,10,Uttar Pradesh-Balrampur,Balrampur 
5,UDAY CHAND,Aam Aadmi Party,18,19,14,18,47,19,11,9,7,4,10,8,5,15,19,8,16,8,7,12,11,10,16,18,9,8,8,7,12,5,8,4,6,10,1,0,Uttar Pradesh-Balrampur,Balrampur 
6,UMA DEVI,Bahujan Mukti Party,10,11,11,25,7,11,10,0,5,7,2,21,16,9,26,10,15,9,11,13,14,23,13,11,4,5,16,6,8,5,8,10,9,10,5,0,Uttar Pradesh-Balrampur,Balrampur 
7,MADAN LAL,Peace Party,10,18,12,14,18,21,12,21,10,26,16,12,30,33,65,33,17,32,57,15,15,14,24,31,6,36,4,9,6,4,3,7,20,15,17,23,Uttar Pradesh-Balrampur,Balrampur 
8,LAL JI,Aazad Samaj Party (Kanshi Ram),28,38,13,34,38,85,18,4,10,5,1,13,13,38,35,18,18,12,16,32,27,17,24,61,6,9,14,16,16,7,8,5,17,14,6,1,Uttar Pradesh-Balrampur,Balrampur 
9,SANTOSH KUMARI,India Janshakti Party,22,26,16,13,16,14,6,6,1,2,4,3,6,7,24,12,7,10,10,22,17,18,23,26,6,9,4,8,11,4,3,5,8,6,1,2,Uttar Pradesh-Balrampur,Balrampur 
10,HARIRAM,Bharatiya Subhash Sena,106,48,40,17,16,52,11,8,21,4,5,10,9,14,29,23,9,19,8,39,17,15,28,26,14,11,14,13,13,13,9,1,9,12,2,1,Uttar Pradesh-Balrampur,Balrampur 
11,JAY MANGAL,Independent,37,40,19,31,20,37,21,12,5,7,5,8,15,23,37,30,20,21,12,33,25,22,32,39,16,10,18,19,30,16,12,11,14,14,10,0,Uttar Pradesh-Balrampur,Balrampur 
12,RAVINDRA KUMAR,Independent,28,42,47,40,35,46,24,15,17,9,13,14,21,29,54,46,26,29,20,50,40,46,38,61,21,20,29,46,39,22,24,27,30,33,13,1,Uttar Pradesh-Balrampur,Balrampur 
13,NOTA,None of the Above,89,143,84,90,84,102,85,33,30,23,30,44,39,97,96,75,74,63,67,76,74,79,83,110,53,68,59,69,74,46,51,36,59,52,23,5,Uttar Pradesh-Balrampur,Balrampur 
