O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Dinesh Rawat,Bharatiya Janata Party,3573,3130,3736,3020,4670,3487,2633,3257,3479,2901,3345,3971,3456,3172,3603,4078,4818,4580,5087,4137,3775,4530,4294,4149,3743,3836,3303,3536,4256,3596,3768,Uttar Pradesh-Haidergarh,Haidergarh 
2,Nirmla Chaudhri,Indian National Congress,260,141,264,77,130,97,92,116,184,130,136,206,220,111,160,120,119,93,85,85,80,116,111,106,103,110,98,88,123,139,85,Uttar Pradesh-Haidergarh,Haidergarh 
3,Ram Magan,Samajwadi Party,3377,2907,3710,3065,3753,4464,4302,3685,3693,3599,3286,2846,2756,3689,2985,2062,2233,2189,1652,2563,3034,2150,2505,2247,2469,2564,2546,3178,2610,2358,2473,Uttar Pradesh-Haidergarh,Haidergarh 
4,Shri Chandra,Bahujan Samaj Party,461,372,325,348,404,241,196,559,587,562,476,700,623,352,463,345,585,231,283,202,156,245,455,462,323,369,224,353,337,568,386,Uttar Pradesh-Haidergarh,Haidergarh 
5,Ramhet,Aazad Samaj Party (Kanshi Ram),17,17,37,24,26,28,21,59,33,28,37,27,65,37,169,37,68,55,43,90,37,85,82,45,77,35,34,25,37,43,14,Uttar Pradesh-Haidergarh,Haidergarh 
6,Shivani,Aam Aadmi Party,25,18,32,18,32,31,22,36,22,18,26,36,22,14,17,30,22,13,20,14,13,30,26,20,30,21,21,31,32,28,21,Uttar Pradesh-Haidergarh,Haidergarh 
7,Sanjay Gautam,Independent,9,12,29,23,29,27,16,21,13,13,34,22,25,27,18,17,27,18,27,14,17,20,17,19,25,17,29,27,28,24,26,Uttar Pradesh-Haidergarh,Haidergarh 
8,NOTA,None of the Above,70,54,82,64,90,81,62,73,63,50,96,79,68,48,74,51,73,78,90,63,53,103,76,95,111,80,79,106,135,125,111,Uttar Pradesh-Haidergarh,Haidergarh 
