O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,AJAY,Samajwadi Party,2130,3021,2285,2947,3531,2685,3032,2236,2625,2715,2076,1821,2336,2829,2559,3684,2738,2826,2672,2679,2073,2812,2415,3213,2792,2993,2143,2872,1470,Uttar Pradesh-Bara,Bara 
2,DR AJAY KUMAR,Bahujan Samaj Party,1021,816,796,426,608,737,769,1182,823,944,719,535,478,836,693,561,1180,610,714,331,573,605,579,734,765,1384,1098,1292,847,Uttar Pradesh-Bara,Bara 
3,AYODHYA PRASAD KOL,Communist Party of India,55,38,88,50,38,40,56,57,44,42,53,33,21,61,29,33,52,42,40,28,31,39,75,66,38,58,39,61,37,Uttar Pradesh-Bara,Bara 
4,MANJU SANT,Indian National Congress,114,208,114,61,95,108,89,186,79,69,94,126,67,120,124,78,167,222,108,70,110,131,282,70,145,168,102,70,54,Uttar Pradesh-Bara,Bara 
5,Kanhaiya Lal,Aam Aadmi Party,33,62,41,25,23,30,32,27,17,37,32,35,20,33,22,28,26,34,41,105,61,36,44,62,23,35,36,30,17,Uttar Pradesh-Bara,Bara 
6,RAVITA DEVI,Jan Kalyan Party,43,18,38,57,29,32,27,32,23,30,49,34,19,33,42,36,30,37,33,43,53,43,52,45,30,24,28,36,27,Uttar Pradesh-Bara,Bara 
7,Ram Kumar Vidyarthi,Peoples Party of India (Democratic),87,73,108,123,97,98,91,103,97,59,92,69,43,110,89,88,81,79,78,69,98,112,141,91,77,109,87,70,53,Uttar Pradesh-Bara,Bara 
8,VACHASPATI,Apna Dal (Soneylal),3099,3118,3151,3780,3795,3583,3392,2695,2093,2390,3788,3664,2875,2974,2987,3006,3472,2672,2757,3007,3855,3245,3622,3147,2986,3057,2674,2234,1885,Uttar Pradesh-Bara,Bara 
9,Sumitra Varun,Akhil Bharatiya Socialist Party,43,38,39,28,37,36,41,47,26,31,54,38,37,40,39,26,40,41,46,52,55,50,66,41,45,48,49,42,22,Uttar Pradesh-Bara,Bara 
10,AJEET BHASKAR,Independent,73,58,43,26,40,47,65,47,46,68,59,41,28,56,64,57,53,54,59,51,55,74,144,67,64,99,54,38,30,Uttar Pradesh-Bara,Bara 
11,RAJENDRA PRASAD,Independent,30,34,26,17,25,22,26,38,21,32,20,21,13,30,20,20,22,18,33,24,23,36,41,28,19,40,31,31,21,Uttar Pradesh-Bara,Bara 
12,VIVEK KUMAR,Independent,26,16,30,24,27,26,21,26,11,28,29,16,20,33,16,22,26,33,28,23,24,20,37,36,19,27,31,37,19,Uttar Pradesh-Bara,Bara 
13,NOTA,None of the Above,115,76,106,87,105,77,116,126,83,78,152,81,51,110,82,108,84,107,98,81,84,100,119,104,98,86,87,82,45,Uttar Pradesh-Bara,Bara 
