O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ANIS AHMED KHAN PHOOL BABU,Bahujan Samaj Party,896,987,1449,1153,816,1126,956,1139,828,1058,663,648,940,998,1362,686,833,1095,1265,1188,1048,1828,1016,1439,835,781,691,2706,2427,1724,705,555,Uttar Pradesh-Bisalpur,Bisalpur
2,DIVYA GANGWAR,Samajwadi Party,1906,1895,3819,3270,2399,3302,1256,2362,1676,3159,2892,2802,2609,2348,2932,2227,2076,2291,2331,1494,1605,2088,1150,1513,1547,1105,1603,4396,2928,1719,1096,117,Uttar Pradesh-Bisalpur,Bisalpur
3,BHEEMSEN SHARMA,Communist Party of India,68,72,49,43,66,55,66,59,53,56,78,122,70,61,60,63,46,60,59,47,58,53,65,54,80,52,55,24,27,32,13,4,Uttar Pradesh-Bisalpur,Bisalpur
4,VIVEK KUMAR VERMA,Bharatiya Janata Party,4320,4074,2555,2087,3864,2665,4633,4170,5041,3036,4513,3195,3717,3870,3295,4348,4264,4186,4747,3814,5112,4877,4762,4335,5504,5797,4927,535,2804,3912,1716,112,Uttar Pradesh-Bisalpur,Bisalpur
5,SHIKHA PANDEY,Indian National Congress,34,33,18,29,61,18,84,68,48,60,46,32,28,44,35,69,53,63,50,32,54,82,52,78,54,43,36,5,20,35,12,0,Uttar Pradesh-Bisalpur,Bisalpur
6,GIRISH SHRIVASTAVA,Naitik Party,26,7,8,4,18,7,12,11,11,15,21,15,10,11,12,13,13,14,10,9,13,18,15,14,7,11,12,6,3,12,4,0,Uttar Pradesh-Bisalpur,Bisalpur
7,DHARAMPAL GANGWAR,Aam Aadmi Party,45,41,14,51,34,12,13,14,12,22,59,47,13,22,24,19,23,28,13,11,15,25,15,10,11,7,18,3,14,7,4,1,Uttar Pradesh-Bisalpur,Bisalpur
8,MANOJ SINGH KUSHWAHA,Jan Adhikar Party,10,14,12,2,13,18,17,8,14,6,19,51,11,35,8,9,15,15,16,33,20,11,29,23,34,4,2,7,5,4,5,2,Uttar Pradesh-Bisalpur,Bisalpur
9,RAJARAM MATHUR,Aazad Samaj Party (Kanshi Ram),10,6,13,11,28,12,22,20,23,24,16,7,46,12,31,15,9,10,26,15,18,23,13,20,21,18,20,9,19,5,2,3,Uttar Pradesh-Bisalpur,Bisalpur
10,RAJESH KUMAR,Sabka Dal United,6,10,10,3,4,10,20,11,8,8,10,6,10,27,18,11,44,60,19,80,15,41,15,9,9,12,11,3,9,1,4,1,Uttar Pradesh-Bisalpur,Bisalpur
11,NITIN PATHAK,Independent,157,67,33,45,67,20,163,67,55,39,103,178,113,175,44,168,266,126,114,102,72,71,54,98,90,116,86,23,58,64,25,10,Uttar Pradesh-Bisalpur,Bisalpur
12,PRADEEP KUMAR,Independent,31,33,18,9,15,14,30,27,39,30,30,26,32,28,12,23,25,33,59,36,32,33,33,29,43,19,17,7,9,23,3,3,Uttar Pradesh-Bisalpur,Bisalpur
13,RAJESH CHANDRA ARVIND,Independent,19,12,13,16,17,20,16,27,15,15,20,19,20,18,15,21,27,23,20,17,27,28,23,16,13,14,5,7,12,5,5,3,Uttar Pradesh-Bisalpur,Bisalpur
14,SUSHIL KUMAR SHUKLA,Independent,11,16,23,28,25,25,18,16,29,22,25,24,25,23,17,22,15,28,18,24,25,49,23,23,21,13,4,18,11,7,3,4,Uttar Pradesh-Bisalpur,Bisalpur
15,NOTA,None of the Above,35,45,42,28,29,38,59,44,35,41,35,36,29,38,35,33,63,44,51,61,52,61,37,55,53,27,19,41,28,28,5,9,Uttar Pradesh-Bisalpur,Bisalpur
