O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,Ashutosh Shukla,Bharatiya Janata Party,4889,5632,2695,4515,3925,4512,3157,4039,3803,4043,3328,3017,2845,3067,2829,3537,3181,3361,4374,3230,2604,3456,2831,3917,3445,3707,3049,2679,4858,2905,2774,3158,3190,2459,3256,3491,1012,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
2,Ankit Parihar,Samajwadi Party,2470,2443,2394,2455,3051,2702,2070,1959,2037,2411,2881,1818,2080,1579,1816,1880,2035,2429,2116,2389,2161,1966,2164,2043,2041,2255,2718,3001,2197,2324,3287,2790,2729,1963,2098,2444,269,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
3,Jang Bahadur Singh,Indian National Congress,55,149,86,66,66,206,76,104,120,69,64,89,55,50,39,59,52,68,49,66,58,66,53,66,59,64,74,64,57,60,58,49,48,45,73,52,41,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
4,Brij Kishor,Bahujan Samaj Party,406,442,1269,580,503,570,883,736,728,603,818,1049,1470,744,1365,1134,578,293,314,768,1427,966,1050,511,380,771,738,1490,457,833,938,427,735,1012,650,575,77,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
5,Navin Kumar,Aam Aadmi Party,16,34,41,34,30,41,26,29,28,27,23,20,49,28,19,12,13,20,15,24,32,12,14,14,19,23,30,34,18,15,18,12,26,18,25,16,4,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
6,Naseem Khan,Rashtriya Samaj Paksha,10,34,40,16,22,22,17,9,18,20,15,25,16,21,21,15,13,13,29,23,27,19,16,15,16,19,28,23,19,8,15,16,20,17,17,32,3,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
7,Surendra Kumar,Aazad Samaj Party (Kanshi Ram),3,29,21,22,26,24,11,17,13,25,27,18,24,19,16,22,10,14,18,16,12,14,18,15,22,23,25,62,24,22,20,21,18,12,20,15,2,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
8,Ajay Singh,Independent,7,36,117,34,37,35,15,34,25,28,34,26,20,22,17,31,28,29,25,23,15,18,14,22,27,27,40,19,21,24,31,27,30,20,28,36,4,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
9,NOTA,None of the Above,31,93,68,70,84,79,57,70,67,67,69,53,72,55,44,73,64,71,99,62,59,53,49,60,64,67,64,73,70,61,50,62,63,45,58,62,7,Uttar Pradesh-Bhagwantnagar,Bhagwantnagar
