O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Padamrag Singh Yadav,Samajwadi Party,2093,1509,2246,1864,2395,2467,2630,3524,2283,1961,1953,2292,1935,1919,1942,1811,1675,2773,2510,2872,2260,2618,4313,3032,2897,2757,2457,3567,3929,3764,1875,2855,2696,2950,1158,247,Uttar Pradesh-Sawayazpur,Sawayazpur
2,Madhavendra Pratap Singh,Bharatiya Janata Party,2632,3559,3476,3734,3327,3488,2912,2662,4261,3597,3613,3543,3434,3154,4053,3698,2914,2764,3153,2224,3401,2829,2981,2912,3094,3037,3805,3705,3418,2895,3396,3774,2741,4044,1779,80,Uttar Pradesh-Sawayazpur,Sawayazpur
3,Rajvardhan Singh,Indian National Congress,355,378,205,306,323,530,446,253,250,570,832,456,365,591,443,212,672,333,196,176,347,314,235,388,236,129,259,261,141,300,209,221,183,192,67,8,Uttar Pradesh-Sawayazpur,Sawayazpur
4,Dr. Rahul Tiwari,Bahujan Samaj Party,860,612,310,511,655,901,836,429,431,1020,460,593,559,584,704,1278,865,558,201,448,365,513,362,659,484,351,502,594,439,678,1041,815,469,650,417,8,Uttar Pradesh-Sawayazpur,Sawayazpur
5,Ramesh,Bharatiya Subhash Sena,30,10,19,18,7,15,18,14,11,46,8,14,18,10,16,7,13,14,3,8,13,12,12,28,8,11,17,15,9,13,23,7,13,9,6,0,Uttar Pradesh-Sawayazpur,Sawayazpur
6,Ritoo,Bhartiya Shakti Chetna Party,7,6,17,9,25,9,7,2,6,17,5,10,5,10,11,4,4,6,8,13,7,6,4,7,3,7,12,3,4,5,5,4,6,2,5,2,Uttar Pradesh-Sawayazpur,Sawayazpur
7,Vedram,Jan Adhikar Party,237,77,154,141,98,284,130,83,63,383,161,117,56,391,55,95,90,162,15,147,190,69,367,146,368,178,173,66,209,138,101,99,259,49,56,1,Uttar Pradesh-Sawayazpur,Sawayazpur
8,Gyanesh Kumar,Aazad Samaj Party (Kanshi Ram),21,9,9,12,14,10,21,2,8,22,11,16,6,23,12,14,11,12,6,12,13,13,16,13,24,13,17,13,16,10,62,11,27,7,6,1,Uttar Pradesh-Sawayazpur,Sawayazpur
9,Anupam Pratap Singh,Independent,9,5,10,8,7,9,11,4,1,12,10,8,5,5,6,7,7,6,6,7,5,7,7,9,5,9,6,9,7,5,9,7,7,4,9,2,Uttar Pradesh-Sawayazpur,Sawayazpur
10,Umesh Chandra Pathak,Independent,16,15,11,7,12,25,10,13,9,15,15,9,9,11,15,13,11,9,6,2,18,10,6,11,10,5,13,6,13,9,12,18,8,7,5,0,Uttar Pradesh-Sawayazpur,Sawayazpur
11,Manoj Kumar,Independent,4,7,4,10,8,9,11,3,5,8,7,11,8,13,15,7,5,7,1,8,5,6,9,15,11,4,9,4,9,8,8,11,4,6,3,0,Uttar Pradesh-Sawayazpur,Sawayazpur
12,Raj Prakash Singh,Independent,11,11,9,10,16,14,16,7,7,17,10,19,9,16,8,8,6,5,7,11,8,11,7,9,10,8,11,16,9,6,14,12,10,15,1,1,Uttar Pradesh-Sawayazpur,Sawayazpur
13,Ramveer,Independent,24,18,16,18,14,24,28,12,8,22,11,15,14,22,21,21,15,13,5,23,10,30,19,15,23,10,20,24,15,33,17,23,15,19,10,0,Uttar Pradesh-Sawayazpur,Sawayazpur
14,Lal Bahadur Singh,Independent,24,32,30,33,39,36,45,14,24,44,49,31,30,31,32,28,35,24,18,21,24,31,26,25,31,30,31,37,31,18,22,27,32,39,18,1,Uttar Pradesh-Sawayazpur,Sawayazpur
15,Suraj Prakash,Independent,43,46,60,60,59,56,26,27,36,65,48,49,38,49,56,49,48,45,41,38,37,39,49,40,43,42,85,66,68,32,46,37,45,58,24,5,Uttar Pradesh-Sawayazpur,Sawayazpur
16,NOTA,None of the Above,37,27,59,38,38,52,45,35,18,33,43,48,37,43,44,46,44,26,32,50,34,48,49,45,45,44,50,56,56,47,40,41,46,59,24,8,Uttar Pradesh-Sawayazpur,Sawayazpur
