O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Abbas Ali Zaidi Alias Rushdi,Bahujan Samaj Party,1100,1434,1786,1902,1869,1326,638,1462,1839,2477,1872,2513,2195,2616,1454,1978,1567,1472,1465,1628,1709,1139,1012,2441,2370,1756,1470,1520,947,1426,1233,159,46,110,139,Uttar Pradesh-Rudauli,Rudauli
2,Anand Sen,Samajwadi Party,2316,2210,2269,1547,2174,2308,2829,1560,1363,1031,1082,1157,1611,1368,1891,2048,1668,1629,1437,1639,1471,1859,2233,2076,995,1718,1266,1270,1697,2046,1024,55,235,11,96,Uttar Pradesh-Rudauli,Rudauli
3,Dayanand Shukla,Indian National Congress,116,86,119,79,113,67,86,217,685,199,86,117,106,109,49,66,67,64,51,86,67,72,50,42,26,53,43,59,67,108,92,5,8,3,7,Uttar Pradesh-Rudauli,Rudauli
4,Ram Chandra Yadav,Bharatiya Janata Party,3332,2198,3093,2528,2862,2697,3682,3419,2707,3174,3403,2795,3450,3422,2601,2813,3300,3401,3222,4167,2740,3138,3137,1664,2142,2629,3631,3704,3383,2472,1633,283,263,449,358,Uttar Pradesh-Rudauli,Rudauli
5,Kumud Kumari,"Rashtrawadi Party of India,",47,40,51,48,76,64,67,73,58,61,57,46,30,69,31,48,57,37,66,57,35,39,29,15,16,26,72,62,62,48,23,5,6,3,2,Uttar Pradesh-Rudauli,Rudauli
6,Manoj Kumar Mishra,Aam Aadmi Party,23,9,26,15,18,20,17,20,27,18,19,19,12,25,25,22,9,11,13,20,14,15,18,12,10,7,24,17,20,33,16,1,1,2,5,Uttar Pradesh-Rudauli,Rudauli
7,Mo. Munsaf,Peace Party,13,16,28,11,21,14,21,20,34,25,14,18,15,20,17,13,27,16,27,23,30,13,24,16,9,13,16,35,14,25,13,3,1,3,3,Uttar Pradesh-Rudauli,Rudauli
8,Mohammad Sher Afgan,All India Majlis-E-Ittehadul Muslimeen,182,686,437,311,159,277,92,95,34,76,133,456,325,391,209,485,587,218,344,385,760,157,1097,482,252,331,243,82,161,270,184,10,23,9,11,Uttar Pradesh-Rudauli,Rudauli
9,Raj Karan,Sabka Dal United,18,11,19,14,19,20,10,14,18,15,12,11,25,16,31,21,16,15,62,25,20,29,57,41,6,17,33,76,24,20,14,4,1,9,0,Uttar Pradesh-Rudauli,Rudauli
10,Kusum Kumar,Independent,16,18,24,14,18,26,21,19,25,34,21,19,26,31,18,18,33,33,10,24,24,28,17,10,7,10,17,23,29,23,13,1,2,3,2,Uttar Pradesh-Rudauli,Rudauli
11,NOTA,None of the Above,57,47,65,50,62,48,61,73,87,112,79,79,85,69,60,80,49,58,59,71,66,54,62,33,36,34,52,62,61,57,63,12,7,4,3,Uttar Pradesh-Rudauli,Rudauli
