O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,state_city,constituency_from_link
1,AMBAR JAHAN,Indian National Congress,58,88,50,66,166,226,51,60,64,95,75,54,91,100,58,55,59,46,52,55,38,82,41,41,40,49,33,50,6,Uttar Pradesh-Pathardeva,Pathardeva
2,PARVEJ ALAM,Bahujan Samaj Party,1058,1142,1240,1125,2630,1279,1787,1272,855,1107,1163,1114,1325,1924,1638,1169,641,805,706,1248,1003,1331,1053,685,847,1590,789,895,68,Uttar Pradesh-Pathardeva,Pathardeva
3,BRAHMASHANKAR TRIPATHI,Samajwadi Party,1769,1600,1839,2084,1691,2713,2084,2491,2331,2436,2234,2405,1696,2521,1669,2532,1820,2376,2143,2559,2455,2531,2294,3368,2543,3165,2303,2683,247,Uttar Pradesh-Pathardeva,Pathardeva
4,SURYA PRATAP SHAHI,Bharatiya Janata Party,2996,4104,3815,3756,2216,3413,2914,3720,3291,3944,4161,3559,3688,2192,3584,3576,4306,2661,3385,3484,3498,3071,3107,2497,3169,1387,3504,4133,377,Uttar Pradesh-Pathardeva,Pathardeva
5,ZIAUL HAQUE ALIAS JAMSHED,Aam Aadmi Party,32,55,35,38,31,38,28,27,37,38,41,37,23,78,27,32,54,22,46,27,26,25,22,18,33,6,41,40,2,Uttar Pradesh-Pathardeva,Pathardeva
6,JWALA JI PRAJAPATI,Bahujan Mukti Party,4,10,10,22,11,5,10,19,11,19,9,23,9,14,10,17,8,8,17,11,5,29,9,20,8,12,18,8,2,Uttar Pradesh-Pathardeva,Pathardeva
7,DURGA,Apna Dal United Party,7,8,5,2,7,6,25,9,17,9,5,1,5,6,5,5,5,9,5,4,4,4,4,2,7,2,6,12,1,Uttar Pradesh-Pathardeva,Pathardeva
8,PRADIP,Bhartiya Shakti Chetna Party,3,8,7,6,7,7,5,9,15,32,7,12,1,5,3,5,6,7,8,6,2,4,2,3,13,5,10,5,0,Uttar Pradesh-Pathardeva,Pathardeva
9,MANISHA SINGH,Rashtriya Ulama Council,7,8,11,6,4,7,5,10,11,8,7,8,6,34,25,10,10,5,6,6,4,4,5,8,10,7,1,10,0,Uttar Pradesh-Pathardeva,Pathardeva
10,MUKHTAR PASI,Hindu Samaj Party,4,10,8,7,6,13,7,10,8,8,10,10,6,15,2,9,1,9,6,9,5,4,7,4,12,4,5,13,0,Uttar Pradesh-Pathardeva,Pathardeva
11,RAJKISHOR,Rashtravadi Vikas Party,14,17,10,13,20,20,18,19,16,24,15,13,14,10,31,15,23,11,14,19,12,16,7,11,24,11,21,20,2,Uttar Pradesh-Pathardeva,Pathardeva
12,RAMESHVAR SHARMA,Moulik Adhikar Party,37,61,47,49,60,35,46,61,32,54,54,27,27,36,46,55,73,39,45,56,57,95,40,45,54,49,74,87,7,Uttar Pradesh-Pathardeva,Pathardeva
13,SANJAY SRIVASTAV,Bhartiya Sarvjan Party,45,17,31,21,26,21,33,33,25,29,21,25,20,32,24,32,25,19,31,28,16,28,28,25,42,21,53,36,7,Uttar Pradesh-Pathardeva,Pathardeva
14,SANDEEP KUMAR MALL,Janata Dal (United),25,32,24,23,41,14,38,21,28,35,34,17,24,29,17,17,21,26,20,15,20,25,25,12,26,28,21,28,4,Uttar Pradesh-Pathardeva,Pathardeva
15,NOTA,None of the Above,32,33,28,23,32,39,32,34,34,40,36,40,26,36,24,36,42,27,45,35,31,34,29,27,48,36,25,47,3,Uttar Pradesh-Pathardeva,Pathardeva
