O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,PRITI,Indian National Congress,137,155,441,351,206,141,90,145,152,85,100,183,45,86,37,108,100,262,55,63,314,164,325,235,869,606,426,356,100,133,263,445,259,180,105,10,1,Uttar Pradesh-Iglas,Iglas 
2,BIRPAL SINGH,Rashtriya Lok Dal,3924,6261,1472,864,1120,773,1091,681,893,1710,2804,2762,2488,2440,1509,2341,2100,2162,2029,2122,1667,1651,2129,1967,1254,2036,1774,1631,1319,1802,1745,2015,2086,1905,411,142,160,Uttar Pradesh-Iglas,Iglas 
3,RAJKUMAR SAHYOGI,Bharatiya Janata Party,1451,168,3362,3420,4206,5401,5409,5579,6411,4924,3598,3453,3492,3167,3391,3417,3371,3389,3892,4130,4004,4706,3184,3775,2819,5224,2854,3053,3556,3477,3639,2851,3056,2970,728,326,313,Uttar Pradesh-Iglas,Iglas 
4,SUSHIL KUMAR,Bahujan Samaj Party,1794,215,2395,1383,639,1163,1586,1206,999,844,791,889,798,1644,977,824,992,1167,686,495,1068,1355,1205,981,1172,646,1289,1484,977,982,1034,1593,1302,1173,18,27,1,Uttar Pradesh-Iglas,Iglas 
5,KUNWARPAL SINGH,Lok Dal,57,63,31,19,20,29,34,27,31,24,23,16,22,14,24,19,37,32,20,22,15,25,25,27,19,22,21,16,27,24,16,24,36,20,3,0,1,Uttar Pradesh-Iglas,Iglas 
6,NOTA,None of the Above,53,51,35,46,22,46,57,46,30,33,24,19,20,19,24,25,37,15,24,26,28,38,29,25,27,44,28,34,33,31,28,38,28,18,5,1,0,Uttar Pradesh-Iglas,Iglas 
