O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Abhimanyu Singh,Indian National Congress,581,364,661,170,235,299,180,115,129,134,363,356,213,310,105,100,215,212,119,93,96,88,102,204,81,78,9,Uttar Pradesh-Bindki,Bindki
2,Ganga Vishun,Communist Party of India,100,55,68,76,57,64,56,67,171,57,56,42,44,63,75,61,72,74,102,102,91,80,78,50,113,98,8,Uttar Pradesh-Bindki,Bindki
3,Rameshwar Dayal,Samajwadi Party,2253,1683,1900,2610,3057,2494,2607,2869,3037,2244,2502,4591,2306,2957,3113,3481,2674,2492,3007,3079,3286,2842,2173,3740,3163,3077,586,Uttar Pradesh-Bindki,Bindki
4,Sushil Kumar,Bahujan Samaj Party,618,851,676,574,775,1062,475,691,1346,1377,871,301,878,1303,657,617,656,1144,1125,849,1039,1164,1188,697,974,1247,135,Uttar Pradesh-Bindki,Bindki
5,Jay Kumar Singh Jaiki,Apna Dal (Soneylal),4448,3769,3327,2543,1871,2969,2859,3154,2611,2793,3228,2714,3644,2201,2801,3079,3146,3200,3102,3475,3171,3088,3824,2241,2482,1916,317,Uttar Pradesh-Bindki,Bindki
6,MANOJ KUMAR,Aam Aadmi Party,44,47,105,74,26,44,34,31,34,43,30,26,42,43,40,30,49,52,37,58,39,40,60,41,52,48,9,Uttar Pradesh-Bindki,Bindki
7,MAHENDRA PAL KEWAT,Desh Bachao Party,41,31,32,29,16,107,32,25,33,27,31,12,41,26,37,36,52,17,44,35,25,28,51,28,30,32,7,Uttar Pradesh-Bindki,Bindki
8,Laxmi Sagar,Jan Adhikar Party,32,54,55,176,333,84,50,43,40,147,103,46,32,84,71,64,32,68,53,51,109,33,52,70,63,29,94,Uttar Pradesh-Bindki,Bindki
9,Roshani Rajpoot,Sabka Dal United,22,25,23,33,7,23,20,29,30,26,24,16,35,18,29,23,32,82,40,37,31,25,29,12,17,64,4,Uttar Pradesh-Bindki,Bindki
10,Shivbali,Independent,70,35,22,27,11,26,28,18,31,16,12,5,14,27,29,20,34,27,30,30,17,15,36,12,27,29,5,Uttar Pradesh-Bindki,Bindki
11,NOTA,None of the Above,81,56,72,70,32,49,59,29,56,64,68,44,75,66,57,53,80,78,78,107,73,45,103,61,74,74,15,Uttar Pradesh-Bindki,Bindki
