O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,Anuruddh Singh,Bahujan Samaj Party,445,888,819,552,445,406,298,542,886,987,988,356,517,416,466,928,330,1140,205,284,457,84,249,556,314,279,196,187,297,313,367,806,Uttar Pradesh-Jalalabad,Jalalabad
2,Gurmeet Kaur,Indian National Congress,71,53,48,33,41,34,26,44,26,45,44,32,43,39,40,28,44,35,34,21,67,31,31,47,46,45,30,27,41,35,31,44,Uttar Pradesh-Jalalabad,Jalalabad
3,Neeraj Nalinish,Samajwadi Party,3754,4838,3951,2743,2480,2669,2161,3022,2490,2802,3679,3422,2406,3493,2778,3313,2962,3078,2608,3103,3887,2856,1423,2693,2605,2383,2280,2763,3336,3334,2700,2742,Uttar Pradesh-Jalalabad,Jalalabad
4,Hari Prakash Verma,Bharatiya Janata Party,2421,2406,1955,3589,3100,3677,4693,3130,2193,2753,2097,3111,3399,3321,3009,3105,3029,2791,4122,2179,2078,3422,4067,3403,3349,3684,3433,4177,3704,3042,3411,1603,Uttar Pradesh-Jalalabad,Jalalabad
5,Santram Singh Chauhan,Aam Aadmi Party,27,35,38,58,52,42,37,52,34,28,34,39,62,49,40,37,46,43,113,29,27,17,26,48,38,49,33,38,35,27,34,32,Uttar Pradesh-Jalalabad,Jalalabad
6,Alok Kumar Sharma,Independent,22,34,17,36,25,29,22,24,18,22,26,30,19,28,28,27,33,46,47,19,23,38,30,37,22,23,27,40,32,23,30,16,Uttar Pradesh-Jalalabad,Jalalabad
7,Alok Yadav,Independent,46,38,26,13,19,29,19,22,24,34,32,29,24,25,20,25,31,42,33,20,27,27,4,21,21,18,18,14,22,19,19,32,Uttar Pradesh-Jalalabad,Jalalabad
8,Sanjeev Kumar,Independent,20,29,15,12,19,14,12,12,13,18,10,20,17,13,13,13,14,23,23,13,12,11,6,5,22,18,17,11,15,10,14,16,Uttar Pradesh-Jalalabad,Jalalabad
9,NOTA,None of the Above,55,40,34,41,44,53,37,45,18,46,43,47,38,40,37,39,49,60,55,39,47,25,17,42,42,37,24,23,31,34,37,38,Uttar Pradesh-Jalalabad,Jalalabad
