O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ANUPMA JAISWAL,Bharatiya Janata Party,340,4777,2729,2852,4334,4386,1787,985,2020,1659,2567,3251,3429,1997,3442,4115,4085,5307,4949,4399,3320,4321,4373,4965,3930,4440,4041,4720,4590,4281,585,481,Uttar Pradesh-Bahraich,Bahraich
2,JAI PRAKASH MISHRA,Indian National Congress,30,67,41,75,121,96,36,46,82,54,56,105,115,74,91,110,122,129,152,146,189,229,236,143,124,98,89,132,142,117,10,12,Uttar Pradesh-Bahraich,Bahraich
3,NAEEM,Bahujan Samaj Party,167,193,103,79,186,82,199,388,135,113,175,150,331,223,514,496,673,469,689,546,1053,515,509,237,243,286,435,295,591,161,27,12,Uttar Pradesh-Bahraich,Bahraich
4,YASAR SHAH,Samajwadi Party,6003,2958,4450,4619,2324,2767,5655,5667,5562,4939,4364,3791,3368,6508,3010,2797,2089,2333,2708,2380,2575,1986,2634,1368,3397,2916,2385,2024,2441,2107,215,861,Uttar Pradesh-Bahraich,Bahraich
5,RAJAT CHAURASIYA,Aam Aadmi Party,31,32,23,32,30,14,34,25,20,29,17,34,60,59,45,45,38,24,31,38,28,56,43,37,43,63,34,29,71,57,6,4,Uttar Pradesh-Bahraich,Bahraich
6,RAJWANT SINGH,Shiv Sena,5,3,12,7,9,8,7,5,3,5,3,20,17,19,34,30,25,12,20,26,23,35,9,17,22,38,16,26,28,12,3,3,Uttar Pradesh-Bahraich,Bahraich
7,RASHID JAMIL,All India Majlis-E-Ittehadul Muslimeen,368,58,113,94,15,53,187,201,158,98,49,53,59,81,97,63,30,24,24,33,28,18,21,23,37,59,29,40,23,38,2,62,Uttar Pradesh-Bahraich,Bahraich
8,RAJEEV SINGH,Independent,7,13,6,4,6,1,11,6,3,6,1,2,15,10,35,21,23,25,14,16,23,16,14,11,13,27,14,19,22,14,5,2,Uttar Pradesh-Bahraich,Bahraich
9,DR. RAM DULARE MISHRA,Independent,2,26,12,16,18,7,5,5,12,6,3,9,17,26,37,24,36,23,38,31,28,28,26,18,32,28,19,22,18,24,2,3,Uttar Pradesh-Bahraich,Bahraich
10,NOTA,None of the Above,22,60,45,27,39,31,36,18,34,22,20,34,56,101,83,85,116,104,108,97,91,110,83,78,100,108,77,84,92,95,13,3,Uttar Pradesh-Bahraich,Bahraich
