O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,state_city,constituency_from_link
1,RAJEEV KUMAR,Bharatiya Janata Party,2460,3252,3797,3226,3636,4114,5883,4857,1995,1360,3632,2328,1678,2554,1490,3172,4543,4956,4041,3660,2932,3113,4219,2779,4021,4148,3768,3370,4765,2756,Uttar Pradesh-Dhanaura,Dhanaura 
2,VIVEK SINGH,Samajwadi Party,1869,2892,2230,2716,2324,2917,1856,4241,5167,5857,2925,2604,4905,3125,6052,2410,1807,1277,1421,2619,3726,2868,2872,4136,3075,1577,2492,2766,2782,3557,Uttar Pradesh-Dhanaura,Dhanaura 
3,SAMAR PAL SINGH,Indian National Congress,53,37,40,82,52,62,41,43,29,60,36,52,37,29,42,48,36,39,49,19,39,83,41,83,45,41,44,49,32,33,Uttar Pradesh-Dhanaura,Dhanaura 
4,HARPAL SINGH,Bahujan Samaj Party,4536,1802,1793,2257,3195,1461,1636,118,550,677,1717,2330,1318,1011,1432,1814,1052,1224,2450,821,619,1067,1675,446,597,1265,1554,1032,1245,1066,Uttar Pradesh-Dhanaura,Dhanaura 
5,GITA RANI,All India Majlis-E-Ittehadul Muslimeen,61,50,14,35,50,42,23,29,65,70,58,34,39,17,59,15,24,13,19,13,59,11,22,19,23,11,20,13,15,15,Uttar Pradesh-Dhanaura,Dhanaura 
6,MAHESH,Bahujan Mukti Party,10,9,12,16,13,5,5,1,3,4,14,6,4,1,8,3,11,1,3,13,8,4,6,8,11,5,5,7,7,2,Uttar Pradesh-Dhanaura,Dhanaura 
7,JASWANT SINGH,Independent,25,11,13,17,24,17,8,9,15,15,15,15,8,10,18,7,13,5,9,6,5,13,13,11,6,10,10,14,10,10,Uttar Pradesh-Dhanaura,Dhanaura 
8,PRAMOD KUMAR,Independent,20,11,7,8,17,12,10,4,7,8,6,16,12,3,6,14,11,4,20,5,1,8,9,5,5,3,8,7,10,10,Uttar Pradesh-Dhanaura,Dhanaura 
9,RAJENDRI URF UMA DEVI,Independent,9,7,5,9,8,6,5,5,6,8,4,3,4,3,16,3,9,6,11,5,8,1,9,9,6,4,6,4,4,7,Uttar Pradesh-Dhanaura,Dhanaura 
10,SUSHEEL KUMAR MAURYA,Independent,16,15,18,20,22,22,12,13,19,11,20,13,26,18,21,17,19,11,17,20,25,5,9,22,24,12,15,16,25,9,Uttar Pradesh-Dhanaura,Dhanaura 
11,NOTA,None of the Above,49,31,46,30,67,52,69,37,42,29,36,29,50,23,47,45,48,28,39,25,32,37,36,27,31,26,25,45,48,42,Uttar Pradesh-Dhanaura,Dhanaura 
