O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,GAJRAJ SINGH,Rashtriya Lok Dal,2279,2194,4024,476,609,929,1657,979,913,923,1053,1446,3092,1781,6508,3275,4562,6572,7656,3969,1952,2286,3682,2637,4268,6698,1928,3914,6223,725,1167,Uttar Pradesh-Hapur,Hapur 
2,BHAVNA,Indian National Congress,144,108,153,95,64,141,111,62,149,130,211,94,63,78,66,82,68,57,46,47,231,127,115,173,160,60,117,91,36,83,9,Uttar Pradesh-Hapur,Hapur 
3,MANISH SINGH,Bahujan Samaj Party,1782,2035,2218,5166,4448,2280,3362,2185,127,1067,1905,1111,1862,2038,798,211,988,483,119,3031,1538,1572,971,2363,1233,773,2645,1232,260,686,34,Uttar Pradesh-Hapur,Hapur 
4,VIJAYPAL (AADHTI),Bharatiya Janata Party,4503,3850,2825,2070,2003,4838,3521,3584,6323,5267,4364,5356,3967,3870,480,3966,2176,908,421,946,4541,4230,3544,3574,3524,1002,3387,3513,233,4508,16,Uttar Pradesh-Hapur,Hapur 
5,KIRAN PAL,Bahujan Mukti Party,19,20,19,23,14,54,29,18,9,7,18,7,16,4,8,4,9,10,4,7,18,11,14,21,29,8,18,25,3,21,2,Uttar Pradesh-Hapur,Hapur 
6,DHARMENDRA,Bhartiya Janta Dal,8,10,8,6,6,11,6,1,6,2,4,3,4,1,2,4,8,7,1,12,3,5,0,11,12,4,8,12,3,3,0,Uttar Pradesh-Hapur,Hapur 
7,Dr B P NILARATNA,Aazad Samaj Party (Kanshi Ram),26,28,17,21,19,6,14,20,16,6,11,10,16,12,6,10,23,12,16,28,22,110,16,16,12,16,6,21,10,11,2,Uttar Pradesh-Hapur,Hapur 
8,VEERPAL SINGH,Aam Aadmi Party,10,9,9,22,17,19,13,13,16,18,17,13,12,16,7,8,6,5,1,9,6,10,6,15,14,8,8,6,4,6,1,Uttar Pradesh-Hapur,Hapur 
9,KAPIL KUMAR,Independent,11,9,7,8,10,5,3,6,6,10,4,5,7,5,1,2,4,5,4,11,13,7,4,11,9,6,8,16,1,5,0,Uttar Pradesh-Hapur,Hapur 
10,KAILASHCHAND,Independent,27,17,16,12,22,8,9,3,5,3,10,6,9,5,4,4,7,4,5,14,15,19,13,12,13,4,21,19,4,21,2,Uttar Pradesh-Hapur,Hapur 
11,CHANDRAPAL SINGH,Independent,32,23,36,29,22,15,17,24,4,7,10,15,21,21,15,4,13,10,8,23,22,18,16,31,46,8,65,36,8,18,1,Uttar Pradesh-Hapur,Hapur 
12,SANJEEV GANDHI,Independent,20,18,17,13,23,9,7,6,2,6,5,6,10,13,13,3,3,9,4,9,8,19,11,18,10,8,10,13,7,10,1,Uttar Pradesh-Hapur,Hapur 
13,NOTA,None of the Above,30,28,49,27,22,34,20,21,37,26,27,34,24,30,42,35,14,26,28,38,36,18,35,34,43,37,37,29,44,15,5,Uttar Pradesh-Hapur,Hapur 
