O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,RAMAKANT,Samajwadi Party,2846,2912,2388,1854,2566,2747,3710,2748,2584,3203,3866,2879,3494,4273,3395,2525,2863,2300,2383,2567,3031,3930,3569,2963,2541,3025,3232,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
2,RAM SURAT,Bharatiya Janata Party,2361,2267,2249,2469,3089,3174,1800,1325,2181,2131,1643,984,2726,2004,1978,2116,2167,1976,2439,1641,1876,1503,1214,2194,3185,854,2101,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
3,SHAKEEL AHMAD,Bahujan Samaj Party,2245,2045,1786,1250,2082,1935,2321,2071,1532,1517,1945,2053,1487,1424,1372,2116,1916,1947,1287,2109,1960,1630,1666,2159,1308,1937,2185,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
4,MO SHAHID,Indian National Congress,34,34,70,42,38,63,49,67,28,30,28,61,44,39,31,35,49,38,37,67,87,34,138,142,88,128,54,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
5,AMIT KUMAR,Aazad Samaj Party (Kanshi Ram),9,7,9,7,4,19,13,3,6,7,10,16,10,11,4,6,5,9,8,23,9,8,84,9,5,9,17,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
6,KIRAN,Aam Aadmi Party,8,4,3,4,6,8,6,2,5,6,4,5,5,10,3,4,5,4,4,3,5,12,4,7,2,8,7,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
7,PRADEEP,Sarva Samaj Janata Party,8,7,5,2,11,12,7,2,2,6,27,6,11,8,2,6,14,14,8,3,6,7,4,8,2,8,7,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
8,YOGENDRA PRATAP,Jan Adhikar Party,53,77,47,23,21,111,23,93,7,5,17,47,32,45,31,211,33,60,47,125,109,16,76,55,61,20,82,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
9,JITENDRA KUMAR,Independent,6,10,9,4,6,16,10,9,5,5,10,5,16,18,11,15,7,8,12,4,3,6,4,12,12,6,9,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
10,PARAS NATH,Independent,16,6,11,8,11,33,24,5,12,7,7,7,18,12,9,9,9,11,15,17,9,7,13,13,7,8,13,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
11,RAM AVTAR,Independent,35,37,45,48,33,43,44,30,25,26,24,16,28,26,25,25,35,31,24,43,28,20,19,24,20,30,36,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
12,SANJAY,Independent,14,24,50,20,34,25,22,10,10,23,11,7,32,29,19,12,22,27,15,17,22,14,14,13,16,11,11,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
13,NOTA,None of the Above,57,48,42,30,38,45,39,28,26,46,42,35,50,66,43,41,36,36,33,34,40,24,36,39,26,26,50,Uttar Pradesh-Phoolpur-Pawai,Phoolpur-Pawai
