O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Louise Khurshid,Indian National Congress,63,84,43,37,48,37,79,57,84,57,93,65,76,62,84,96,46,84,69,72,72,75,95,61,63,50,52,51,89,73,12,Uttar Pradesh-Farrukhabad,Farrukhabad
2,Vijay Kumar Katiyar,Bahujan Samaj Party,759,321,809,1233,994,642,467,929,805,277,525,501,255,170,104,24,74,178,150,74,231,109,63,630,553,1067,1243,1614,788,745,133,Uttar Pradesh-Farrukhabad,Farrukhabad
3,Major Sunil Dutt Dwivedi,Bharatiya Janata Party,3977,4269,4810,4766,3397,3952,2969,3683,3856,2737,3465,3388,2327,2653,3042,4571,2463,4226,2882,2796,3973,4917,4633,4296,4322,3832,3109,3827,4194,3618,817,Uttar Pradesh-Farrukhabad,Farrukhabad
4,Suman Shakya,Samajwadi Party,2717,2110,1639,1381,1796,1862,3324,2262,1755,1266,2289,2256,3547,3668,3764,2641,3391,3251,4176,3775,1748,2146,2210,1574,1662,1133,2041,1554,3014,2203,188,Uttar Pradesh-Farrukhabad,Farrukhabad
5,Neeraj Pratap Shakya,Aam Aadmi Party,30,27,62,61,78,13,28,22,12,19,19,12,21,19,19,21,19,23,27,16,17,25,17,21,10,21,22,19,28,19,2,Uttar Pradesh-Farrukhabad,Farrukhabad
6,Rajesh Kumar Dixit,Bhartiya Shakti Chetna Party,11,4,3,9,5,5,4,12,1,3,2,4,1,4,3,0,3,3,4,5,3,21,8,2,9,2,11,6,6,4,12,Uttar Pradesh-Farrukhabad,Farrukhabad
7,Ruchi Singh Rajput,Jan Adhikar Party,65,86,136,32,60,273,20,97,16,2,9,1,8,13,10,8,7,4,64,34,9,12,9,18,4,7,8,6,28,201,2,Uttar Pradesh-Farrukhabad,Farrukhabad
8,Varun Ashok Saxena,Janata Dal (United),11,8,8,5,6,8,5,6,3,2,6,3,3,10,1,1,3,7,7,1,5,6,4,6,2,4,6,10,5,14,1,Uttar Pradesh-Farrukhabad,Farrukhabad
9,Vikrant Singh,Swatantra Indian Labour Party,23,17,23,15,6,15,8,27,30,7,10,4,5,16,11,5,8,4,15,15,8,8,3,6,6,15,12,18,30,16,6,Uttar Pradesh-Farrukhabad,Farrukhabad
10,Krishan Kumar Tiwari,Independent,46,27,41,22,9,25,21,22,17,7,16,11,4,19,11,29,12,10,15,12,18,11,6,4,8,10,11,16,34,33,7,Uttar Pradesh-Farrukhabad,Farrukhabad
11,Dr. Bharat Chandra Gaur,Independent,13,8,17,17,14,5,13,16,26,24,23,64,14,7,9,5,5,13,9,6,13,11,5,7,6,16,25,30,19,15,4,Uttar Pradesh-Farrukhabad,Farrukhabad
12,NOTA,None of the Above,52,18,29,26,26,24,25,41,24,15,26,29,17,41,16,37,28,35,23,31,19,39,39,34,26,48,33,35,41,39,8,Uttar Pradesh-Farrukhabad,Farrukhabad
