O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,Rakesh Pandey,Samajwadi Party,2319,2218,3336,3271,2513,2388,3069,2239,1772,2379,2668,3108,3538,2698,3073,3673,4665,5263,4434,2299,2299,3042,1584,2633,2833,2299,2571,2466,2731,2330,2305,1985,2296,153,Uttar Pradesh-Jalalpur,Jalalpur
2,Dr. Ragini Pathak,Indian National Congress,32,51,44,38,28,42,58,58,28,52,28,66,39,42,54,41,46,24,44,29,69,59,233,62,65,68,31,33,63,46,54,40,47,0,Uttar Pradesh-Jalalpur,Jalalpur
3,Dr. Rajesh Singh,Bahujan Samaj Party,2989,2503,3374,2927,2540,3590,2231,2627,2202,2513,2448,1313,1840,3834,3377,1879,1365,1153,2400,2472,2403,2349,2056,2445,1895,2572,2637,2638,2275,2336,1892,2055,2408,140,Uttar Pradesh-Jalalpur,Jalalpur
4,Subash Chandra rai,Bharatiya Janata Party,1885,2283,1597,2001,2057,2020,2616,2547,2598,2518,2085,2133,1370,2011,2138,2415,1956,2114,1324,2266,2440,1915,1745,2056,1965,1858,1980,2345,2721,2488,2304,2310,2797,147,Uttar Pradesh-Jalalpur,Jalalpur
5,Upendra Nath,Voters Party International,68,66,48,69,43,85,46,64,76,51,38,45,48,57,64,55,33,29,43,97,78,46,40,49,61,57,48,66,83,68,68,60,60,4,Uttar Pradesh-Jalalpur,Jalalpur
6,Jay Singh Rana,Bahujan Mukti Party,26,55,32,15,25,25,12,30,13,13,13,10,61,58,54,25,8,9,5,12,36,45,83,57,29,34,87,11,32,113,39,14,44,7,Uttar Pradesh-Jalalpur,Jalalpur
7,Nitesh Kumar,Vikassheel Insaan Party,201,129,6,11,18,11,8,17,54,25,9,7,1,32,37,5,2,1,7,167,422,16,52,390,200,73,2,6,86,256,71,6,10,71,Uttar Pradesh-Jalalpur,Jalalpur
8,Ramesh Kumar Mishra,Janata Dal (United),6,10,8,3,3,7,7,6,11,5,6,6,3,4,6,8,3,1,3,8,7,9,9,7,12,12,10,1,6,47,6,1,3,2,Uttar Pradesh-Jalalpur,Jalalpur
9,Rajendra Kumar,Aam Aadmi Party,47,85,64,48,71,21,14,51,12,25,20,17,68,54,18,83,10,2,72,20,16,7,7,9,9,7,16,5,18,18,8,9,10,3,Uttar Pradesh-Jalalpur,Jalalpur
10,Ram Boojh Maurya,Moulik Adhikar Party,43,50,40,43,39,54,45,44,40,26,35,33,52,42,48,23,31,24,33,35,47,54,32,31,40,39,29,42,30,37,33,24,54,2,Uttar Pradesh-Jalalpur,Jalalpur
11,Vinay Kumar Maurya,Jan Adhikar Party,50,30,50,82,41,108,27,32,43,92,41,33,33,49,138,46,51,28,37,46,43,68,32,30,35,80,88,30,27,27,25,20,51,4,Uttar Pradesh-Jalalpur,Jalalpur
12,Raghvendra Mohan,Independent,36,37,40,42,25,30,23,30,22,40,288,146,23,29,21,16,8,7,19,32,55,17,12,33,30,27,11,18,29,55,14,14,13,13,Uttar Pradesh-Jalalpur,Jalalpur
13,NOTA,None of the Above,42,34,48,47,39,65,38,58,52,43,44,48,37,47,51,37,30,21,27,40,51,40,39,32,24,40,37,44,57,61,41,34,48,2,Uttar Pradesh-Jalalpur,Jalalpur
