O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Neeraj Chaudhary,Rashtriya Lok Dal,1725,2073,1673,1264,2047,1701,4454,3880,1735,3203,2825,3044,4593,3079,1502,2430,2414,2457,3734,2491,4076,2899,4343,3256,1721,2509,2992,2995,3655,3007,3612,2599,2313,2014,675,Uttar Pradesh-Bijnor,Bijnor
2,Ruchi Vira,Bahujan Samaj Party,2470,1825,2815,2594,2202,2011,870,1281,2180,1798,1718,1983,2256,1043,878,2048,2046,631,910,411,1164,1352,1031,347,613,677,1921,2056,1662,1358,977,1897,1710,682,194,Uttar Pradesh-Bijnor,Bijnor
3,Suchi,Bharatiya Janata Party,2983,3479,2897,4081,4739,3874,1656,1818,3282,2700,2748,2904,1089,2845,3217,3346,2295,3443,1169,3834,1456,2152,1037,3280,3580,3479,2405,3290,2597,3017,1927,2950,3170,3569,2,Uttar Pradesh-Bijnor,Bijnor
4,Amiruddin,Bhartiya Jan Samman Party,32,20,18,23,28,18,12,17,21,26,21,21,18,14,11,28,12,17,6,7,2,14,5,19,12,19,29,40,24,20,17,31,30,23,3,Uttar Pradesh-Bijnor,Bijnor
5,Gaurav Kumar,Peoples Party of India (Democratic),16,18,29,28,12,11,6,6,31,68,11,22,10,9,10,13,25,20,9,5,3,4,1,3,10,1,15,18,25,11,9,30,32,87,1,Uttar Pradesh-Bijnor,Bijnor
6,Mamun Ul Haq Urf Adil Naeem,Aazad Samaj Party (Kanshi Ram),41,28,14,19,17,17,15,13,12,17,12,6,21,14,10,14,10,10,12,6,15,10,11,23,18,2,18,13,21,8,18,11,9,7,3,Uttar Pradesh-Bijnor,Bijnor
7,Munir Ahmed,All India Majlis-E-Ittehadul Muslimeen,41,16,19,3,14,4,60,68,63,33,90,226,368,54,13,11,49,85,111,21,43,116,84,42,15,7,75,147,110,70,52,21,120,2,29,Uttar Pradesh-Bijnor,Bijnor
8,Vineet,Aam Aadmi Party,3,23,6,11,10,10,5,11,11,2,12,4,7,11,25,55,2,12,10,24,14,3,7,6,9,7,13,9,15,12,7,9,12,13,1,Uttar Pradesh-Bijnor,Bijnor
9,Archana Chaudhary,Independent,7,4,7,10,14,5,2,3,7,8,4,5,9,3,2,6,6,3,2,9,4,3,3,3,3,3,8,14,9,8,10,8,8,8,3,Uttar Pradesh-Bijnor,Bijnor
10,Udai Veer Singh,Independent,10,6,5,7,3,9,8,4,11,10,5,7,5,5,2,7,5,3,2,0,2,3,2,6,0,5,8,10,7,6,9,6,16,4,1,Uttar Pradesh-Bijnor,Bijnor
11,Umesh Chand,Independent,20,7,8,20,11,18,6,9,24,12,7,6,1,3,3,11,10,7,3,1,0,7,3,6,3,2,6,10,43,14,10,10,17,7,3,Uttar Pradesh-Bijnor,Bijnor
12,Jitendra Kumar,Independent,15,12,18,14,19,12,15,8,12,20,12,15,21,6,3,8,3,9,4,7,3,8,7,5,7,8,17,16,18,16,6,18,11,8,1,Uttar Pradesh-Bijnor,Bijnor
13,Mohan Lal,Independent,25,12,21,18,22,23,19,18,20,26,11,21,22,12,5,14,14,11,8,1,3,7,11,4,11,7,15,33,18,25,12,14,17,16,5,Uttar Pradesh-Bijnor,Bijnor
14,NOTA,None of the Above,49,13,30,52,50,28,34,30,34,29,33,52,56,31,24,31,27,25,23,33,19,32,25,23,17,27,35,42,52,22,28,32,25,32,12,Uttar Pradesh-Bijnor,Bijnor
