O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,DURGA PRASAD,Bahujan Samaj Party,743,600,648,904,440,882,365,769,337,654,1117,245,201,265,955,437,526,270,413,201,709,420,866,1138,880,278,341,266,454,399,585,728,226,115,2,Uttar Pradesh-Kaimganj,Kaimganj 
2,SHAKUNTALA,Indian National Congress,51,53,56,58,77,49,76,65,68,46,54,78,78,67,62,45,65,39,27,54,56,111,60,60,67,63,68,136,62,44,62,181,73,20,1,Uttar Pradesh-Kaimganj,Kaimganj 
3,SARVESH AMBEDKAR,Samajwadi Party,3080,3178,1738,3112,2364,2762,3633,2536,2963,1262,3692,4396,2589,2882,2186,1982,1816,4833,4295,2430,2432,3336,2699,1997,1854,2801,3280,5520,1743,2681,2676,2495,2474,2095,9,Uttar Pradesh-Kaimganj,Kaimganj 
4,ARUN KUMAR,Jan Adhikar Party,367,230,510,205,265,140,243,286,86,20,76,76,44,40,81,147,145,49,28,40,75,71,74,90,110,137,68,54,131,56,166,178,254,101,15,Uttar Pradesh-Kaimganj,Kaimganj 
5,PRASHANT KUMAR,Aam Aadmi Party,54,52,46,55,46,21,26,50,47,27,25,26,47,42,25,35,64,47,28,29,44,34,43,65,48,49,35,18,38,38,28,30,57,33,4,Uttar Pradesh-Kaimganj,Kaimganj 
6,Dr. SURABHI,Apna Dal (Soneylal),3340,2444,3370,2935,4355,3061,1688,3303,3903,4332,2497,2483,5355,3843,2292,4179,4464,2557,2393,3383,3636,3655,4926,3682,3796,4011,3021,1913,4273,4109,3262,3360,3541,1002,305,Uttar Pradesh-Kaimganj,Kaimganj 
7,LAKSHMI,Independent,58,37,46,58,72,27,28,44,54,45,37,31,37,35,24,36,84,34,29,57,49,39,58,51,68,82,29,20,59,55,29,51,45,22,4,Uttar Pradesh-Kaimganj,Kaimganj 
8,NOTA,None of the Above,81,61,60,58,60,52,23,66,39,39,44,36,44,47,31,33,69,53,30,35,62,42,50,49,55,80,47,30,42,41,44,47,38,25,1,Uttar Pradesh-Kaimganj,Kaimganj 
