O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,Gaurav Raghuvanshi,Bahujan Samaj Party,1223,273,451,513,452,766,507,332,722,902,393,469,532,793,578,1210,1017,1303,1291,1641,1123,976,1189,1124,1453,1296,1682,1790,1330,979,1009,795,1190,749,77,Uttar Pradesh-Bidhuna,Bidhuna
2,Riya Shakya,Bharatiya Janata Party,2677,2458,2894,2291,1639,2376,2509,2314,2918,4016,3314,3839,2629,2242,2989,2946,2280,2631,2346,2158,3175,2758,2796,2145,1931,3351,2245,2780,2414,2313,3363,2162,2869,989,422,Uttar Pradesh-Bidhuna,Bidhuna
3,Rekha Verma,Samajwadi Party,2717,3291,3221,3410,4670,3346,3154,3176,3219,2808,2093,2257,3296,3089,1568,3360,2353,3417,2390,2068,2582,2264,2922,3092,2844,2560,3222,2970,2663,2567,2651,2924,2244,1978,212,Uttar Pradesh-Bidhuna,Bidhuna
4,Suman Vyas,Indian National Congress,31,22,40,42,37,36,37,97,44,25,24,31,25,30,17,26,17,37,25,16,25,21,19,29,25,30,36,45,39,23,39,27,48,14,3,Uttar Pradesh-Bidhuna,Bidhuna
5,Amar Deep,Kisan Majdoor Berojgar Sangh,8,11,10,4,7,7,8,11,11,10,1,12,13,6,11,10,13,13,7,12,12,5,3,9,4,9,9,10,8,4,7,8,7,4,1,Uttar Pradesh-Bidhuna,Bidhuna
6,Jitendra Singh,Aam Aadmi Party,5,9,10,12,4,1,9,7,8,26,12,4,23,7,9,18,10,47,15,21,13,22,8,15,12,9,5,12,7,14,13,11,8,6,0,Uttar Pradesh-Bidhuna,Bidhuna
7,Ram Singh,Bhartiya Shakti Chetna Party,4,2,4,4,3,4,1,4,2,14,13,9,5,4,5,7,8,10,8,3,29,12,13,4,10,15,4,4,2,5,22,17,23,5,2,Uttar Pradesh-Bidhuna,Bidhuna
8,Er. Shivam Pal,Rashtriya Samaj Paksha,10,7,13,14,8,13,21,8,42,13,15,8,13,8,19,20,9,12,17,13,15,24,16,16,6,17,22,11,15,7,22,23,40,8,2,Uttar Pradesh-Bidhuna,Bidhuna
9,Sanjiv Kumar,Jan Adhikar Party,117,85,536,155,135,55,196,92,209,95,35,153,166,60,23,79,30,165,286,29,103,230,45,55,12,12,38,37,29,108,333,108,84,21,8,Uttar Pradesh-Bidhuna,Bidhuna
10,Akhilesh Kumar Tripathi,Independent,23,18,31,19,39,25,26,24,31,28,17,25,26,35,213,33,41,39,18,20,23,25,35,30,23,32,29,24,34,19,41,17,30,13,1,Uttar Pradesh-Bidhuna,Bidhuna
11,Naveen Verma,Independent,28,21,28,23,18,12,19,18,31,16,11,3,21,16,25,19,8,21,21,16,26,18,12,22,18,20,16,17,19,20,17,23,25,3,2,Uttar Pradesh-Bidhuna,Bidhuna
12,NOTA,None of the Above,31,23,25,37,23,29,20,30,38,31,17,21,29,37,32,35,17,36,33,38,47,32,38,39,54,43,47,30,31,30,38,29,34,21,2,Uttar Pradesh-Bidhuna,Bidhuna
