O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,ARMAAN KHAN,Samajwadi Party,3540,3125,2253,2760,2423,2729,2600,2832,5577,5978,6230,4857,2488,3059,2561,6371,6997,4596,6422,6675,5697,5072,5457,2817,3385,4145,2238,2353,1996,2126,2080,1442,65,147,514,233,Uttar Pradesh-Lucknow West,Lucknow West
2,ANJANI KUMAR SRIVASTAVA,Bharatiya Janata Party,4415,3670,3640,4695,5432,3639,5466,4581,2428,1751,2153,2860,5120,4234,3818,1635,1716,3544,2023,1347,1260,3076,2051,4639,4474,3953,4950,5710,5671,5239,5132,178,497,349,112,308,Uttar Pradesh-Lucknow West,Lucknow West
3,KAYAM RAZA KHAN,Bahujan Samaj Party,503,697,437,557,630,896,425,641,162,240,193,456,417,109,45,125,148,163,112,226,294,111,199,160,76,202,259,370,337,337,395,12,7,1,6,17,Uttar Pradesh-Lucknow West,Lucknow West
4,SHAHANA SIDDIQUI,Indian National Congress,77,70,41,85,96,112,67,79,80,91,132,64,67,73,56,84,73,87,156,114,65,47,96,88,103,89,122,113,118,114,82,15,2,9,6,10,Uttar Pradesh-Lucknow West,Lucknow West
5,ATUL TIWARI,Bhartiya Shakti Chetna Party,8,10,10,12,13,10,11,6,6,7,6,2,3,2,6,0,6,5,0,1,5,1,1,2,5,6,7,5,7,8,4,0,1,0,0,1,Uttar Pradesh-Lucknow West,Lucknow West
6,KANTI PANDEY,Rashtriya Rashtrawadi Party,5,2,2,1,4,15,6,1,0,10,5,3,0,2,2,3,4,5,2,1,2,3,3,4,5,4,2,5,3,3,2,0,2,0,0,1,Uttar Pradesh-Lucknow West,Lucknow West
7,KAYNAT SIDDIQUI,Jan Abhiyan Party,8,7,3,8,4,3,6,5,9,10,7,5,4,4,1,0,11,6,8,4,3,5,7,5,3,7,4,3,4,2,1,0,0,0,0,0,Uttar Pradesh-Lucknow West,Lucknow West
8,RAJIV BAKSHI,Aam Aadmi Party,32,22,38,51,56,49,66,60,24,19,12,25,24,30,26,10,14,11,12,27,29,22,31,43,54,72,82,67,89,72,105,4,0,1,0,4,Uttar Pradesh-Lucknow West,Lucknow West
9,RAHUL GUPTA,Independent,59,50,14,31,30,39,29,23,16,20,17,13,24,11,6,12,19,8,9,16,4,13,13,32,11,22,19,12,5,10,8,0,6,1,0,2,Uttar Pradesh-Lucknow West,Lucknow West
10,Vinay Shukla,Independent,26,9,9,14,8,15,9,11,13,14,11,7,9,4,2,4,5,5,7,5,2,4,5,10,5,10,7,5,0,3,0,0,4,0,0,1,Uttar Pradesh-Lucknow West,Lucknow West
11,MOHD HANIF KHAN,Independent,41,29,39,60,17,29,23,19,53,32,28,19,15,2,8,17,21,27,10,11,5,13,20,25,37,74,15,7,8,5,9,2,5,1,0,2,Uttar Pradesh-Lucknow West,Lucknow West
12,NOTA,None of the Above,59,40,34,63,63,63,41,35,46,43,30,35,36,26,32,35,54,33,28,35,40,24,25,42,44,52,57,45,47,42,46,8,11,3,3,4,Uttar Pradesh-Lucknow West,Lucknow West
