O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,AKSHAYBAR NATH KANAUJIYA,Samajwadi Party,2509,1577,1858,2287,2304,1742,2328,3499,2109,2888,3234,2184,2121,2754,4711,2095,2077,3400,2803,2609,4328,3912,3449,2649,3001,2450,2793,3161,3872,2759,108,Uttar Pradesh-Balha,Balha 
2,KIRAN BHARTI,Indian National Congress,172,59,41,44,70,61,91,110,58,60,68,64,47,55,77,53,65,72,112,83,87,56,71,64,77,65,54,81,54,44,6,Uttar Pradesh-Balha,Balha 
3,RAMCHANDRA,Bahujan Samaj Party,181,414,686,445,321,315,948,491,581,423,577,437,773,682,279,1761,1797,247,100,514,478,346,301,244,456,555,295,254,157,237,221,Uttar Pradesh-Balha,Balha 
4,SAROJ SONKAR,Bharatiya Janata Party,4418,3457,3173,4125,4053,4580,2864,2927,4055,3692,3751,3452,3171,2923,2056,2473,1420,3847,3480,4652,2312,3693,4113,3849,3404,3311,3166,3032,1706,3055,149,Uttar Pradesh-Balha,Balha 
5,KANTI,Aam Aadmi Party,84,82,75,96,96,94,80,88,78,105,118,95,76,72,47,64,49,97,56,117,66,75,116,154,132,118,95,78,67,76,4,Uttar Pradesh-Balha,Balha 
6,Jitendra kumar,Jan Adhikar Party,24,31,18,29,54,36,462,490,67,24,43,178,115,193,37,165,142,35,54,37,15,19,25,31,50,20,20,29,22,17,7,Uttar Pradesh-Balha,Balha 
7,Deepak,Vikassheel Insaan Party,35,50,45,63,120,170,67,31,12,254,227,54,149,110,109,51,46,31,14,24,52,15,25,14,361,38,20,14,18,21,0,Uttar Pradesh-Balha,Balha 
8,Rinku Sahani,Shiv Sena,24,21,15,18,22,26,33,31,23,29,29,22,20,27,17,14,15,22,9,22,20,24,20,22,46,27,25,27,16,25,0,Uttar Pradesh-Balha,Balha 
9,Raj Sri,Independent,20,13,16,18,15,22,19,16,10,26,26,19,21,28,13,16,18,21,10,28,25,18,38,14,38,36,23,18,16,14,2,Uttar Pradesh-Balha,Balha 
10,VIJAY,Independent,14,7,23,16,17,23,25,15,15,27,27,13,27,21,11,16,18,18,4,10,25,31,22,17,31,24,21,28,15,9,3,Uttar Pradesh-Balha,Balha 
11,SHIV CHARAN,Independent,24,20,10,23,28,34,44,34,18,37,38,19,24,36,20,17,7,26,13,34,33,29,23,25,38,27,19,26,14,22,1,Uttar Pradesh-Balha,Balha 
12,NOTA,None of the Above,74,41,52,68,97,101,95,114,72,99,125,63,60,102,73,64,37,102,41,106,123,109,110,90,114,124,111,109,88,121,2,Uttar Pradesh-Balha,Balha 
