O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,UPENDRA SINGH,Indian National Congress,55,93,72,93,158,118,89,103,140,137,143,159,108,149,181,146,120,54,86,72,122,124,125,109,123,96,101,72,130,131,97,88,98,29,19,Uttar Pradesh-Agra Rural,Agra Rural 
2,KIRAN PRABHA KESHARI,Bahujan Samaj Party,271,1655,1713,1379,1431,1795,3902,589,621,1086,1520,1847,3212,3548,3135,2437,1464,3099,1507,2432,3633,4271,2800,2121,860,459,813,790,914,1076,785,787,1593,159,799,Uttar Pradesh-Agra Rural,Agra Rural 
3,BABY RANI MAURYA,Bharatiya Janata Party,3877,4004,3520,4630,5278,4123,2955,4172,6056,4422,3995,3336,3542,1460,3348,3707,3667,2614,4333,4184,2286,3137,2975,4348,5777,3736,3363,3801,8100,5206,3534,6102,4240,2105,758,Uttar Pradesh-Agra Rural,Agra Rural 
4,MAHESH KUMAR,Rashtriya Lok Dal,2521,2361,2596,1488,1768,948,628,2200,560,481,1213,1156,756,1011,1039,573,2060,1218,2102,883,1524,507,1195,1178,716,3433,4285,4156,686,1306,2626,1020,1053,460,618,Uttar Pradesh-Agra Rural,Agra Rural 
5,ARUN KUMAR KATHERIA,Aam Aadmi Party,54,54,45,39,49,36,54,48,48,54,39,48,38,36,37,53,34,24,51,30,52,35,29,71,50,72,37,44,57,197,66,83,118,108,8,Uttar Pradesh-Agra Rural,Agra Rural 
6,BALVIR,Rashtriya Samaj Paksha,4,9,148,43,23,32,60,10,14,4,27,43,10,18,33,7,14,24,39,14,14,18,20,27,73,12,23,44,31,25,29,29,46,9,6,Uttar Pradesh-Agra Rural,Agra Rural 
7,PANKAJ KUMAR,Independent,7,15,19,16,14,13,10,18,9,4,8,10,7,14,11,10,15,18,21,11,8,18,7,15,23,15,35,30,19,15,22,17,12,9,6,Uttar Pradesh-Agra Rural,Agra Rural 
8,RAJENDRA SINGH,Independent,9,20,18,25,32,27,20,23,26,15,12,21,15,34,17,26,17,22,29,29,15,34,10,24,46,20,37,40,42,23,40,37,35,14,6,Uttar Pradesh-Agra Rural,Agra Rural 
9,SURESH CHAND VARUN,Independent,5,28,30,30,26,26,38,12,10,6,37,14,31,39,46,33,18,37,29,36,45,54,33,35,36,22,24,28,16,18,20,23,44,7,7,Uttar Pradesh-Agra Rural,Agra Rural 
10,NOTA,None of the Above,22,29,15,40,41,25,28,32,57,39,29,23,32,31,35,25,22,21,20,57,40,49,33,49,64,42,36,42,51,31,43,34,41,12,14,Uttar Pradesh-Agra Rural,Agra Rural 
