O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,GHANSHYAM PANDEY,Bahujan Samaj Party,992,986,871,1051,1151,1019,1133,764,943,804,917,962,955,1040,1278,1567,1757,1120,1243,1087,1188,990,911,952,1547,910,1197,1024,1014,734,567,1229,906,4,Uttar Pradesh-Pratappur,Pratappur
2,VIJAMA YADAV,Samajwadi Party,2540,2387,2841,3534,2614,2985,2211,3083,3054,2558,2283,3427,2637,2307,2541,1923,2431,1697,2295,2684,2796,2937,3135,4063,2747,2957,3725,3259,3093,2415,2787,1890,2590,156,Uttar Pradesh-Pratappur,Pratappur
3,SANJAY TIWARI,Indian National Congress,35,46,45,43,48,53,36,64,48,55,142,81,75,83,86,70,78,209,175,69,215,66,136,82,54,58,101,94,80,79,147,281,22,1,Uttar Pradesh-Pratappur,Pratappur
4,ARVIND KUMAR VISHWAKARMA,Samyak Party,8,15,13,9,17,18,11,13,8,13,15,9,10,11,3,9,13,12,13,22,15,9,16,14,14,31,8,14,7,9,9,14,10,1,Uttar Pradesh-Pratappur,Pratappur
5,MOHD AHMAD ANSARI,Peace Party,26,82,49,45,51,97,53,154,94,71,59,47,40,46,37,26,45,42,29,71,36,43,32,68,46,114,118,158,68,103,36,48,104,2,Uttar Pradesh-Pratappur,Pratappur
6,AFATAB ALAM,Aazad Samaj Party (Kanshi Ram),32,59,47,37,45,53,58,69,46,61,46,34,30,31,34,42,47,39,34,32,42,35,31,42,57,40,41,27,36,58,29,28,31,0,Uttar Pradesh-Pratappur,Pratappur
7,KAMAL,Vikassheel Insaan Party,25,247,71,25,22,23,57,17,23,46,20,31,69,146,21,15,11,16,8,6,19,40,24,14,35,8,13,13,12,13,5,13,53,1,Uttar Pradesh-Pratappur,Pratappur
8,GITA DEVI,Bhartiya Kamgar Party,10,9,12,23,13,11,4,18,9,15,28,14,7,14,10,11,9,10,10,14,13,7,7,15,13,30,7,19,10,10,11,12,15,0,Uttar Pradesh-Pratappur,Pratappur
9,GHANSHYAM,Shiv Sena,11,11,4,11,8,8,8,12,4,7,6,8,4,7,6,12,22,8,11,5,4,7,7,11,13,4,11,5,4,7,4,8,6,0,Uttar Pradesh-Pratappur,Pratappur
10,DURVIJAY SINGH,Pragatisheel Manav Samaj Party,88,19,18,12,8,16,28,13,48,9,19,14,9,11,5,10,6,5,14,12,15,27,9,12,20,12,11,14,5,13,12,11,11,0,Uttar Pradesh-Pratappur,Pratappur
11,NAREND KUMAR,Peoples Party of India (Democratic),31,65,45,40,39,33,44,29,46,53,41,53,25,46,25,21,30,35,34,34,36,47,54,43,55,33,33,39,32,35,28,32,43,2,Uttar Pradesh-Pratappur,Pratappur
12,MANJU MAURYA,Jan Adhikar Party,35,41,46,36,90,72,115,124,125,91,87,140,49,33,36,29,34,41,64,24,103,140,54,170,192,108,125,104,152,342,86,127,84,0,Uttar Pradesh-Pratappur,Pratappur
13,RAKESH DHAR TRIPATHI,Apna Dal (Soneylal),1761,3074,2312,2346,2259,2785,2883,2106,1909,2646,3096,2284,2103,2816,2337,1762,2145,2615,2545,2691,2694,2076,3082,2310,2506,2026,1650,2823,2564,3075,2311,2167,2019,231,Uttar Pradesh-Pratappur,Pratappur
14,VINOD KUMAR,Janadhar Shakti Party,14,16,10,14,15,23,16,22,10,22,12,18,23,8,9,19,17,17,20,30,25,9,26,10,15,17,8,18,17,15,17,18,17,0,Uttar Pradesh-Pratappur,Pratappur
15,SUJEET KUMAR,Bharat Vaibhav Party,18,19,23,26,19,27,16,24,15,17,20,33,22,15,41,14,26,17,16,13,33,21,32,20,25,12,9,25,17,16,19,26,15,1,Uttar Pradesh-Pratappur,Pratappur
