O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,state_city,constituency_from_link
1,ANIL KUMAR DOHAREY,Samajwadi Party,2469,3664,2991,4311,3115,2837,3300,3161,2637,4407,2504,4250,2827,2977,2725,2924,2347,2681,2131,2862,4036,3212,4960,3475,3466,3014,2748,2899,2848,4206,3696,3801,2536,3376,2363,2300,137,Uttar Pradesh-Kannauj,Kannauj 
2,ASIM ARUN,Bharatiya Janata Party,4058,2661,3244,1781,3478,4357,3776,3795,3086,2483,3687,3760,3403,3978,4160,4386,5229,4328,3077,3710,2767,3663,2682,3702,2590,3011,3665,3587,3626,2495,2558,1989,3861,2636,3391,1559,336,Uttar Pradesh-Kannauj,Kannauj 
3,VINEETA DEVI,Indian National Congress,39,52,50,46,74,41,45,33,32,104,42,76,46,42,49,67,54,45,74,25,28,49,48,65,50,93,50,73,41,33,36,35,51,34,36,21,3,Uttar Pradesh-Kannauj,Kannauj 
4,SAMAR JEET DOHARE,Bahujan Samaj Party,479,678,884,421,1158,951,407,481,1358,765,1560,954,873,575,835,1004,421,206,1798,317,64,192,345,568,1071,1241,615,751,448,543,953,559,677,852,677,483,3,Uttar Pradesh-Kannauj,Kannauj 
5,SUNIL KUMAR,All India Majlis-E-Ittehadul Muslimeen,78,163,144,435,20,25,204,31,70,253,37,116,55,89,28,40,34,29,38,212,271,177,638,143,240,153,150,53,74,164,25,172,46,31,28,10,0,Uttar Pradesh-Kannauj,Kannauj 
6,MANOJ,Independent,7,7,8,8,16,8,6,4,11,11,13,15,11,6,13,12,12,3,28,2,4,6,8,13,8,8,12,10,5,4,9,6,7,4,11,4,0,Uttar Pradesh-Kannauj,Kannauj 
7,RAJ KATHERIA,Independent,7,8,8,4,14,19,11,6,13,10,10,7,5,14,20,9,14,8,18,7,8,2,8,18,14,12,10,11,8,8,11,4,9,12,6,8,0,Uttar Pradesh-Kannauj,Kannauj 
8,SUNIL,Independent,29,22,34,25,30,24,26,31,26,29,38,20,27,22,38,43,29,21,21,22,14,16,15,41,23,21,31,25,24,23,11,14,24,30,31,9,0,Uttar Pradesh-Kannauj,Kannauj 
9,NOTA,None of the Above,50,47,50,40,69,47,53,41,53,41,50,42,47,37,80,55,54,40,51,29,29,30,48,52,50,50,52,62,48,42,36,41,42,41,46,26,3,Uttar Pradesh-Kannauj,Kannauj 
