O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,Rajeshwari,Samajwadi Party,1580,2602,3588,2915,3241,2320,1915,2791,4788,3438,2810,2499,2072,2391,2613,2828,3241,3835,2758,3040,2216,2786,2200,3064,2870,2955,2304,3338,2823,1194,158,Uttar Pradesh-Gopamau,Gopamau 
2,Shyam Prakash,Bharatiya Janata Party,3438,3229,2017,2724,3152,4010,3595,1848,1513,2323,2684,4193,3220,4968,2704,3039,2604,2780,3411,3190,4006,3246,3355,3210,3799,3037,3643,2642,3000,711,280,Uttar Pradesh-Gopamau,Gopamau 
3,Sarvesh Kumar,Bahujan Samaj Party,1526,1131,1062,1662,1112,900,1137,2083,316,419,1650,922,1203,945,1538,1030,1026,1068,1422,1319,954,1135,762,690,821,526,1002,870,781,529,19,Uttar Pradesh-Gopamau,Gopamau 
4,Suneeta Devi,Indian National Congress,46,66,49,38,40,62,24,43,17,25,61,46,43,35,57,67,54,41,47,56,54,48,32,35,51,51,66,67,57,23,5,Uttar Pradesh-Gopamau,Gopamau 
5,Rudra Pratap Shahi,Aam Aadmi Party,11,12,14,18,18,19,17,16,6,10,30,13,21,24,28,20,16,14,22,23,18,24,25,25,17,17,30,33,25,12,2,Uttar Pradesh-Gopamau,Gopamau 
6,Munshilal,Independent,34,23,23,36,25,42,23,24,8,19,33,35,40,35,40,28,38,32,41,46,50,29,44,32,32,18,35,38,31,25,1,Uttar Pradesh-Gopamau,Gopamau 
7,Shive Kumar,Independent,42,30,25,18,26,49,32,20,9,12,35,32,28,47,38,37,28,36,54,44,22,40,28,42,39,38,35,38,30,14,2,Uttar Pradesh-Gopamau,Gopamau 
8,NOTA,None of the Above,72,50,64,54,57,81,50,47,42,35,59,71,48,82,89,66,66,75,68,71,54,55,69,89,76,65,66,68,65,26,6,Uttar Pradesh-Gopamau,Gopamau 
