O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,R-39,R-40,R-41,R-42,R-43,state_city,constituency_from_link
1,IRSHAD HUSSAIN,Bahujan Samaj Party,15,33,41,71,30,24,19,53,34,40,51,130,58,69,15,143,91,184,65,300,351,57,37,176,85,185,138,409,1297,1253,303,190,266,111,376,443,1101,2466,716,2043,340,4,1,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
2,MOHD YUSUF ANSARI,Samajwadi Party,6904,3584,749,4429,8125,8182,8050,4685,3106,6828,7573,4058,5146,1478,3559,1852,828,1164,7321,6647,4535,5573,6764,4921,5062,1314,977,2373,4835,4900,536,425,476,1240,1582,1624,1780,806,788,1218,501,533,38,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
3,RIZWAN QURESHI,Indian National Congress,128,134,91,143,142,158,98,71,82,84,419,373,376,123,149,54,60,78,166,155,70,88,94,151,225,135,151,96,138,274,69,75,54,70,77,90,89,75,100,59,6,66,1,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
4,RITESH KUMAR GUPTA,Bharatiya Janata Party,41,4309,7670,2952,171,47,198,3344,5532,1233,523,2636,1407,6198,4191,5280,7099,6911,1262,1185,3657,1278,80,1211,732,3483,4907,4433,2490,4488,5732,7138,5539,5216,5522,5845,5508,4720,6477,5201,1573,22,343,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
5,Avinash Chandra,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3,16,16,7,0,1,1,11,25,6,1,14,6,20,19,30,27,39,10,4,23,8,2,11,4,10,14,7,15,33,23,17,21,13,26,12,13,10,15,15,7,0,2,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
6,MOHD DANISH,Aazad Samaj Party (Kanshi Ram),1,5,2,3,6,2,5,8,4,0,5,3,2,4,3,6,7,11,9,15,15,2,5,12,6,8,7,5,9,15,2,9,9,7,11,5,7,9,3,7,2,0,0,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
7,WAQI RASHEED,All India Majlis-E-Ittehadul Muslimeen,137,35,4,43,154,95,95,37,20,55,54,43,55,16,65,23,41,27,127,140,121,217,364,150,129,3,3,28,49,112,0,3,3,14,64,87,15,10,2,5,3,10,0,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
8,VIPIN,Shiv Sena,4,11,25,3,2,6,4,6,3,3,5,8,4,18,14,14,15,17,11,6,21,7,5,11,2,12,4,4,8,13,6,6,5,14,15,11,6,9,4,8,4,1,0,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
9,ARUN PRAKASH SINGH,Aam Aadmi Party,5,21,31,11,3,3,1,11,10,1,6,6,7,10,19,11,11,23,9,13,21,11,15,13,16,22,56,58,22,24,40,41,27,20,29,28,23,36,33,40,2,1,0,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
10,SHAMSHAD AHMAD,Independent,6,5,5,5,8,5,3,9,5,6,8,9,9,5,13,11,6,9,14,11,23,8,13,12,9,4,6,5,9,19,0,6,7,9,11,5,8,4,2,8,2,1,0,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
11,NOTA,None of the Above,31,48,42,27,37,42,16,35,25,19,44,22,22,46,31,42,50,61,35,46,39,39,39,25,29,28,25,34,32,49,27,37,18,27,35,27,41,41,45,17,19,0,1,Uttar Pradesh-Moradabad Nagar,Moradabad Nagar
