O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ATAUR REHMAN,Samajwadi Party,4296,3885,2443,3097,2465,3866,3487,4593,4286,3956,5389,4476,6192,5217,4171,4733,3499,1925,2356,2716,3690,3599,3555,3415,3926,5199,7927,2934,4058,3577,3149,1562,Uttar Pradesh-Baheri,Baheri
2,ASEY RAM,Bahujan Samaj Party,183,396,753,811,472,227,315,535,380,484,608,71,31,177,328,188,816,586,867,1059,1505,294,271,738,677,516,156,553,634,383,484,277,Uttar Pradesh-Baheri,Baheri
3,CHHATRA PAL SINGH,Bharatiya Janata Party,2376,4764,5700,4438,6011,3562,3495,3123,3966,3013,3428,2823,974,3664,3349,2266,4297,5127,5423,5861,3069,3805,2871,4219,4200,3057,741,5083,4584,4204,4369,2595,Uttar Pradesh-Baheri,Baheri
4,SANTOSH,Indian National Congress,51,77,78,50,50,52,36,32,87,42,52,30,23,51,56,23,86,133,95,107,93,47,18,56,72,46,23,65,72,41,68,27,Uttar Pradesh-Baheri,Baheri
5,ASIF RAZA,Aam Aadmi Party,27,16,8,10,11,8,11,5,11,6,63,56,62,60,23,4,10,9,16,14,8,8,6,1,6,5,15,17,8,10,2,1,Uttar Pradesh-Baheri,Baheri
6,JITENDRA PAL SINGH,Aazad Samaj Party (Kanshi Ram),8,12,6,4,14,7,5,11,4,2,7,6,4,8,5,11,15,24,9,11,4,4,1,5,10,3,3,15,9,8,3,3,Uttar Pradesh-Baheri,Baheri
7,DHARM PAL,Bharatiya Subhash Sena,11,7,39,9,11,9,7,4,6,4,5,3,1,13,2,1,7,9,7,8,4,10,2,16,3,4,3,16,15,12,6,2,Uttar Pradesh-Baheri,Baheri
8,AJAY GANGWAR,Independent,8,6,5,4,11,5,2,4,2,6,6,3,0,2,4,3,11,8,8,9,3,2,2,8,1,3,2,9,6,7,10,2,Uttar Pradesh-Baheri,Baheri
9,CHHATR PAL,Independent,7,12,13,5,7,8,7,3,7,4,6,0,2,4,4,8,16,5,5,10,6,10,8,7,9,5,0,16,8,8,5,1,Uttar Pradesh-Baheri,Baheri
10,DUSHYANT KUMAR,Independent,10,24,17,22,24,22,17,9,14,4,15,7,1,8,15,7,29,27,24,18,17,12,10,19,22,9,7,25,15,25,13,15,Uttar Pradesh-Baheri,Baheri
11,FARIDA REHMAN,Independent,5,25,16,14,20,7,14,9,14,4,13,0,2,7,7,11,10,19,12,16,9,7,4,12,17,2,8,21,12,12,6,3,Uttar Pradesh-Baheri,Baheri
12,NOTA,None of the Above,38,44,29,42,46,32,33,25,54,38,47,19,18,31,17,34,63,41,48,41,33,40,28,42,45,30,40,30,49,44,34,17,Uttar Pradesh-Baheri,Baheri
