O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,R-37,R-38,state_city,constituency_from_link
1,DR. DHARMPAL SINGH,Bharatiya Janata Party,3464,3844,4790,3485,1325,4198,5531,4606,4715,3353,4692,5997,7065,5560,3586,3230,3244,4842,4741,3789,4585,4543,4649,1359,3413,3641,4280,3899,2507,4166,4027,4506,3493,4224,3373,1992,1487,72,Uttar Pradesh-Etmadpur,Etmadpur
2,PRAVAL PRATAP SINGH,Bahujan Samaj Party,2694,1595,2930,3858,5790,3917,526,2692,1668,4392,2505,1477,675,1127,2426,1987,3628,3788,2845,2548,3734,3320,2516,3892,2532,2478,2260,1539,1759,2686,2297,2896,3703,2892,2205,3184,991,462,Uttar Pradesh-Etmadpur,Etmadpur
3,DR.VIRENDRA SINGH CHAUHAN,Samajwadi Party,1336,2042,543,818,1528,889,2022,612,1667,843,610,516,808,907,3106,983,1900,408,276,1887,953,1030,880,3634,1817,1106,595,2667,3718,448,956,206,915,1086,2060,2338,305,18,Uttar Pradesh-Etmadpur,Etmadpur
4,SHIVANIDEVI DEVI,Indian National Congress,53,32,40,22,25,27,35,45,33,40,34,60,50,54,56,30,81,29,26,18,18,30,28,31,115,33,16,32,21,35,27,29,30,19,22,24,15,0,Uttar Pradesh-Etmadpur,Etmadpur
5,RAKESH KUMAR GUPTA,Rashtriya Vyapari Party,4,5,6,8,6,10,5,8,19,9,4,4,5,8,9,6,7,7,5,6,0,6,6,4,7,5,5,6,2,1,1,3,2,2,5,5,1,0,Uttar Pradesh-Etmadpur,Etmadpur
6,VINOD SINGH,Peace Party,4,3,4,3,11,5,7,6,4,3,10,13,8,7,4,9,7,2,1,2,4,3,0,4,3,1,4,3,3,4,2,3,1,3,0,1,2,1,Uttar Pradesh-Etmadpur,Etmadpur
7,SATISH,Bahujan Mukti Party,1,3,3,2,12,6,5,2,12,2,1,2,3,10,8,11,4,1,3,1,3,3,5,1,1,2,0,2,1,11,2,5,13,0,2,0,3,1,Uttar Pradesh-Etmadpur,Etmadpur
8,SUNIL OJHA,Bharatiya Subhash Sena,3,2,7,2,7,4,3,2,5,6,1,7,7,2,7,7,8,2,3,0,1,3,2,23,2,11,4,5,0,1,3,5,8,0,3,6,0,0,Uttar Pradesh-Etmadpur,Etmadpur
9,SUMIT SINGH,Aam Aadmi Party,5,1,3,8,20,6,5,16,16,16,8,23,16,20,24,12,8,3,1,2,2,12,10,1,1,1,4,2,3,2,3,3,3,5,3,0,2,0,Uttar Pradesh-Etmadpur,Etmadpur
10,DR. ANIL KUMAR SINGH,Independent,6,0,2,4,3,3,2,0,3,3,6,6,2,4,8,8,4,2,4,1,2,2,1,3,1,5,5,6,0,0,2,2,2,2,2,1,1,0,Uttar Pradesh-Etmadpur,Etmadpur
11,KAPIL GAUTAM,Independent,9,3,6,6,2,3,3,2,3,1,6,2,2,9,10,8,3,7,4,1,3,3,1,1,2,3,4,1,4,1,2,2,2,3,2,4,2,0,Uttar Pradesh-Etmadpur,Etmadpur
12,MAHA VEER,Independent,6,7,7,5,7,6,15,7,3,3,6,8,10,3,17,14,8,5,4,8,4,7,5,1,6,3,2,6,4,5,7,7,9,2,3,2,3,0,Uttar Pradesh-Etmadpur,Etmadpur
13,SHIV CHARAN LAL,Independent,34,27,20,38,25,27,33,7,19,16,17,13,13,17,44,27,32,26,25,24,26,19,25,26,19,22,16,27,19,16,18,16,23,16,24,24,5,1,Uttar Pradesh-Etmadpur,Etmadpur
14,SHAILENDRA PAL SINGH,Independent,33,22,32,39,44,33,33,18,20,23,24,18,23,35,42,32,49,67,42,41,44,33,40,39,25,34,22,38,25,16,19,32,46,34,32,57,12,5,Uttar Pradesh-Etmadpur,Etmadpur
15,NOTA,None of the Above,46,59,53,51,31,72,82,48,51,30,38,53,72,66,70,59,55,73,58,35,62,59,73,39,49,46,53,65,32,28,37,51,51,41,33,33,33,1,Uttar Pradesh-Etmadpur,Etmadpur
