O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,state_city,constituency_from_link
1,ATAL BIHARI SINGH,Communist Party of India,75,28,19,35,48,46,56,75,47,53,66,42,50,34,48,94,49,39,20,55,67,54,58,28,49,51,44,65,49,67,37,40,41,0,1,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
2,KAJAL NISHAD,Samajwadi Party,3065,2212,2278,2337,2517,2933,2926,2681,2379,2482,3123,2235,2380,2535,2044,3285,2260,2502,2059,2276,2174,1512,2399,1758,1770,2591,2348,2034,1972,2232,2160,2555,2367,161,94,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
3,CHANDRA PRAKASH NISHAD,Bahujan Samaj Party,277,183,213,202,224,639,388,436,423,338,452,314,185,405,294,395,430,476,269,415,369,488,456,312,297,449,264,566,439,823,442,802,368,5,58,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
4,FATEH BAHADUR,Bharatiya Janata Party,2800,3037,3334,3582,3252,3235,4405,3539,3341,4208,3743,4250,3834,3390,3954,3896,3771,3859,3967,4558,4065,4093,3402,3787,4033,3094,4132,3343,3678,3696,3133,3085,3398,428,183,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
5,SURENDRA KUMAR NISHAD,Indian National Congress,86,74,65,66,83,96,97,82,91,94,78,101,86,57,89,92,73,61,61,97,84,101,64,73,66,46,81,83,67,72,79,57,76,4,6,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
6,KAUSHAL KUMAR SINGH,Aam Aadmi Party,9,13,4,7,12,11,23,14,9,21,12,16,10,12,10,14,9,9,10,7,6,18,16,6,15,9,19,12,11,10,7,7,9,1,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
7,JATASHANKAR,Jan Adhikar Party,12,13,1,3,4,17,11,7,23,13,7,7,10,9,10,10,8,7,3,12,8,11,16,11,3,5,15,11,7,9,6,5,13,1,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
8,MUNIB NISHAD,Bharatiya Eklavya Party,19,2,5,7,6,10,14,6,13,12,13,5,8,8,11,8,10,6,9,9,6,7,3,3,4,9,5,17,28,3,13,5,6,1,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
9,VINOD SINGH FAUZI,Bhartiya Kisan Union Samaj Party,14,16,45,7,6,6,12,24,15,13,8,6,18,9,10,10,12,11,9,20,6,10,20,41,193,16,11,20,13,9,7,4,12,0,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
10,VINDHYVASINI SINGH NISHAD,Indian National League,41,21,16,19,31,33,39,37,34,36,52,20,25,33,13,29,24,39,23,36,22,19,19,24,20,19,22,22,36,20,18,22,14,0,5,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
11,DHANUSHDHARI KUMAR,Independent,26,39,18,23,40,39,42,24,40,32,45,31,26,34,32,31,17,15,13,32,33,33,23,27,20,14,25,12,18,26,32,21,17,3,1,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
12,NAVIMUHAMAD,Independent,18,13,12,7,14,21,12,7,17,15,14,19,9,12,13,10,19,9,10,20,21,16,15,4,11,14,14,8,11,13,9,19,9,0,3,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
13,RAMPAL,Independent,27,21,17,11,23,29,27,20,15,14,34,19,18,16,18,22,17,10,13,25,20,20,18,19,11,15,11,16,13,24,6,29,13,0,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
14,NOTA,None of the Above,37,53,26,26,34,50,49,47,47,45,52,24,34,32,24,50,49,29,24,36,43,35,24,24,44,27,31,21,36,21,28,23,23,1,0,Uttar Pradesh-Caimpiyarganj,Caimpiyarganj
