O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,state_city,constituency_from_link
1,CHAUDHARY RAVINDRA PRATAP,Indian National Congress,1875,1255,762,538,272,793,1252,1109,1174,488,401,402,326,314,655,269,509,515,433,487,337,395,565,424,282,388,596,898,547,523,458,683,217,12,Uttar Pradesh-Shohratgarh,Shohratgarh
2,RADHARAMAN TRIPATHI,Bahujan Samaj Party,633,520,866,424,305,597,649,626,659,544,626,576,924,609,822,976,1222,698,697,746,1031,562,787,478,549,427,1031,978,643,417,359,565,420,133,Uttar Pradesh-Shohratgarh,Shohratgarh
3,AMAR SINGH CHAUDHARY,Aazad Samaj Party (Kanshi Ram),210,366,454,487,68,317,507,469,361,371,299,685,445,576,440,330,495,786,484,221,215,297,610,693,306,315,229,230,780,352,243,163,206,21,Uttar Pradesh-Shohratgarh,Shohratgarh
4,OMPRAKASH,Janata Dal (United),37,39,49,41,51,39,27,35,45,45,49,53,42,54,71,47,135,41,40,32,37,74,50,49,40,52,57,50,55,47,64,63,66,3,Uttar Pradesh-Shohratgarh,Shohratgarh
5,JILAJEET,Nationalist Janshakti Party,36,26,42,30,16,25,22,35,49,27,40,27,37,29,24,15,51,43,29,26,21,24,41,28,45,21,17,39,34,41,30,24,22,0,Uttar Pradesh-Shohratgarh,Shohratgarh
6,PREM CHANDRA,Suheldev Bharatiya Samaj Party,1224,1243,1474,1657,1477,2071,1059,1630,1376,1512,1473,1492,2174,1950,1429,857,1252,954,1347,938,831,1576,955,1639,1651,1021,772,1106,1435,1248,1772,1629,1998,118,Uttar Pradesh-Shohratgarh,Shohratgarh
7,Vidhyanand alias Vidyanand,Bahujan Maha Party,58,43,74,60,35,61,50,73,70,60,73,88,51,72,52,42,70,52,60,36,34,66,111,80,53,89,48,54,57,64,60,48,72,9,Uttar Pradesh-Shohratgarh,Shohratgarh
8,VINAY VERMA,Apna Dal (Soneylal),1716,1100,1989,1771,2988,1573,1649,1885,1964,1849,2382,2340,1939,2129,1871,2108,3147,1769,2390,3248,3089,1628,2542,2372,2152,3253,2106,2699,1808,1597,1478,1726,2301,342,Uttar Pradesh-Shohratgarh,Shohratgarh
9,BAXI SHARAD KUMAR SRIVASTAVA,Aam Aadmi Party,50,44,60,50,38,58,40,51,48,87,56,57,48,49,38,50,43,44,43,45,40,76,65,51,48,54,35,60,51,78,87,59,67,8,Uttar Pradesh-Shohratgarh,Shohratgarh
10,DIVAKAR VIKRAM SINGH,Independent,23,25,33,38,23,41,27,32,23,27,31,31,28,24,32,62,46,36,20,29,33,28,48,30,28,42,51,72,21,29,65,26,32,4,Uttar Pradesh-Shohratgarh,Shohratgarh
11,SHIV SAGAR,Independent,54,34,62,40,32,33,30,46,42,49,47,47,48,49,43,38,65,35,32,24,36,37,76,61,51,62,36,54,57,38,42,34,40,5,Uttar Pradesh-Shohratgarh,Shohratgarh
12,Dr. Mohd. SARFARAZ ANSARI,Independent,78,86,86,176,77,113,213,137,115,111,115,235,137,197,45,205,196,168,402,491,473,125,81,191,119,100,103,206,149,88,61,145,112,8,Uttar Pradesh-Shohratgarh,Shohratgarh
13,NOTA,None of the Above,94,66,67,43,42,57,49,46,64,60,60,55,66,49,62,58,90,43,53,51,43,61,67,79,68,68,40,72,44,56,46,57,65,7,Uttar Pradesh-Shohratgarh,Shohratgarh
