O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,ARSHAD KHURSHEED,Indian National Congress,314,378,162,158,209,182,339,130,379,495,325,704,719,969,521,367,685,218,144,407,517,246,194,291,188,195,242,259,114,138,53,71,Uttar Pradesh-Itwa,Itwa
2,MATA PRASAD PANDEY,Samajwadi Party,2261,2480,2042,2150,1699,2189,2106,1683,2036,2904,3230,2450,2057,2254,2177,2277,1472,2299,1294,1428,2205,1966,1603,2225,1878,2120,2496,2389,1809,1878,574,240,Uttar Pradesh-Itwa,Itwa
3,SATISH CHANDRA,Bharatiya Janata Party,1674,2598,2501,2584,2191,2279,2496,2100,1782,809,2576,1522,1193,1149,1605,2060,1788,2781,2732,2379,1640,1693,2117,1570,2066,1985,1759,2105,2791,2515,1065,351,Uttar Pradesh-Itwa,Itwa
4,HARI SHANKAR SINGH,Bahujan Samaj Party,648,455,923,878,666,871,713,689,640,526,475,658,790,639,470,668,922,542,879,947,700,2009,1169,534,967,1164,1021,830,901,718,601,216,Uttar Pradesh-Itwa,Itwa
5,AMIT KUMAR MISHRA,Peace Party,31,17,36,43,25,25,29,60,28,21,18,14,29,25,27,39,35,29,37,43,37,63,19,15,29,30,31,44,41,29,16,6,Uttar Pradesh-Itwa,Itwa
6,KARAM HUSSAIN,Aam Aadmi Party,9,8,21,18,14,17,12,15,15,2,14,11,7,31,9,21,13,13,19,14,8,17,8,4,12,6,15,13,20,20,5,7,Uttar Pradesh-Itwa,Itwa
7,RAMESH KUMAR GAUTAM,Jan Adhikar Party,21,17,25,27,12,16,15,12,22,7,18,11,5,15,12,24,14,27,23,19,13,30,16,5,24,21,17,15,21,18,12,1,Uttar Pradesh-Itwa,Itwa
8,RAM PRAKASH,Bahujan Mukti Party,24,19,29,34,17,29,27,21,27,9,21,14,8,23,23,39,30,41,32,35,21,40,20,19,28,26,17,23,26,27,7,4,Uttar Pradesh-Itwa,Itwa
9,RAM SINGH MANAI,Independent,27,24,37,32,22,27,25,20,30,8,26,19,16,18,21,35,33,25,40,28,19,22,19,14,25,18,34,35,23,24,11,8,Uttar Pradesh-Itwa,Itwa
10,NOTA,None of the Above,44,36,36,58,37,39,37,23,27,16,24,35,19,35,38,91,36,57,43,45,20,25,36,34,45,32,40,47,25,34,20,1,Uttar Pradesh-Itwa,Itwa
