O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Ambrish Rawat,Bharatiya Janata Party,2528,3218,1957,2348,2807,2821,2789,2723,3472,3263,4065,3880,4583,3556,1248,2093,3873,3108,4216,2528,3413,3096,3216,2535,3504,3740,4037,3039,3860,3623,4189,3353,4039,3210,373,143,Uttar Pradesh-Zaidpur,Zaidpur 
2,Usha Singh,Bahujan Samaj Party,532,766,551,480,650,493,860,658,893,485,431,414,811,256,174,253,1034,769,531,808,662,924,348,921,345,391,364,437,464,191,333,308,428,345,11,22,Uttar Pradesh-Zaidpur,Zaidpur 
3,Gaurav Kumar,Samajwadi Party,3941,4231,3951,4602,3114,3557,2854,3961,3301,3464,3113,2658,2514,3528,5757,4877,2529,3894,2460,4317,2978,3640,3036,4673,2046,3299,2727,2311,2216,2853,2567,2451,2353,2743,208,150,Uttar Pradesh-Zaidpur,Zaidpur 
4,Tanuj Punia,Indian National Congress,935,893,1062,573,953,865,1057,581,702,384,946,876,1209,739,550,606,644,599,644,647,687,950,851,835,502,695,1021,1597,1136,608,1191,1590,888,594,27,6,Uttar Pradesh-Zaidpur,Zaidpur 
5,Arvind Singh Rawat,Aazad Samaj Party (Kanshi Ram),36,29,33,31,27,18,52,46,51,24,48,29,37,19,12,41,28,13,23,28,29,55,32,31,23,30,38,49,29,20,51,47,31,26,2,2,Uttar Pradesh-Zaidpur,Zaidpur 
6,Akash Kumar Diwan,All India Majlis-E-Ittehadul Muslimeen,67,75,190,177,81,65,21,65,84,103,121,46,39,232,626,264,31,74,21,127,38,171,65,43,8,23,24,39,21,45,21,18,19,18,6,1,Uttar Pradesh-Zaidpur,Zaidpur 
7,Bhagirath,Aam Aadmi Party,15,18,16,19,18,14,35,20,19,17,21,16,36,20,9,27,12,34,20,25,18,43,18,28,25,23,28,20,21,7,25,24,24,12,2,2,Uttar Pradesh-Zaidpur,Zaidpur 
8,NOTA,None of the Above,44,46,31,50,52,63,33,58,46,44,60,63,66,46,33,50,59,44,44,48,60,46,44,69,58,81,52,61,53,49,69,42,51,40,5,1,Uttar Pradesh-Zaidpur,Zaidpur 
