O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,state_city,constituency_from_link
1,HAJI IRFAN SOLANKI,Samajwadi Party,5467,2186,3672,6522,7350,6708,8020,6278,5433,1778,1116,2200,6355,4360,1501,1686,1408,2772,1865,1507,287,380,Uttar Pradesh-Sishamau,Sishamau
2,RAJNISH TIWARI,Bahujan Samaj Party,68,225,350,156,20,135,20,28,165,284,246,133,56,88,84,92,156,168,272,143,2,0,Uttar Pradesh-Sishamau,Sishamau
3,SALIL VISHNOI,Bharatiya Janata Party,2462,4081,3693,1234,63,1410,75,216,2451,5647,6854,5069,763,2653,5691,6329,5617,3507,5024,3566,3,122,Uttar Pradesh-Sishamau,Sishamau
4,HAJEE SUHEL AHAMAD,Indian National Congress,167,133,240,278,467,449,425,535,260,368,261,200,188,216,142,271,284,334,202,139,22,17,Uttar Pradesh-Sishamau,Sishamau
5,SHRIMATI MADHURI,Bahujan Party,4,8,14,5,1,5,1,2,4,7,6,10,8,8,3,4,7,6,8,5,0,0,Uttar Pradesh-Sishamau,Sishamau
6,LADDAN,Lok Dal,3,3,3,2,3,3,2,6,5,5,8,5,7,9,4,7,4,5,28,7,0,0,Uttar Pradesh-Sishamau,Sishamau
7,SUNIL BABU,Aam Aadmi Party,18,60,42,11,2,12,2,4,17,39,33,26,14,24,42,83,39,21,46,21,0,0,Uttar Pradesh-Sishamau,Sishamau
8,ALOK KUMAR,Independent,1,5,11,8,1,9,2,6,7,3,22,4,9,8,5,2,3,5,12,10,0,0,Uttar Pradesh-Sishamau,Sishamau
9,NOTA,None of the Above,32,32,38,32,29,29,13,30,34,32,38,46,23,24,45,52,36,33,34,26,2,0,Uttar Pradesh-Sishamau,Sishamau
