O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,state_city,constituency_from_link
1,Chhotey Lal Verma,Bharatiya Janata Party,4985,4676,3891,4262,4113,3042,3599,3707,3767,2744,4396,4121,3950,4440,4076,3819,4497,2988,3700,3893,5329,4649,4071,3105,2837,4666,3658,1596,Uttar Pradesh-Fatehabad,Fatehabad
2,Roopali Dixit,Samajwadi Party,1137,1205,1643,3188,1011,1784,1483,2911,2698,2337,1332,2555,1312,2133,1916,1866,1490,3741,2346,2030,1515,2188,2558,2830,1683,1909,1983,401,Uttar Pradesh-Fatehabad,Fatehabad
3,Shailendra Singh,Bahujan Samaj Party,2179,1881,2048,1198,2102,2681,2333,1541,1677,3177,1759,727,3090,947,1751,1175,905,1617,1101,1515,662,685,669,946,1421,479,570,60,Uttar Pradesh-Fatehabad,Fatehabad
4,Hotam Singh Nishad,Indian National Congress,36,40,17,11,22,27,20,21,26,35,22,13,29,21,21,20,17,16,21,30,20,28,32,24,46,25,38,5,Uttar Pradesh-Fatehabad,Fatehabad
5,Ajay Kumar,Log Party,9,14,8,9,8,6,8,3,10,9,5,6,9,8,7,13,4,2,14,8,7,5,5,11,8,11,9,1,Uttar Pradesh-Fatehabad,Fatehabad
6,Pt. Dinesh Chand Sharma,Saman Adhikar Party,7,14,10,7,10,9,9,3,3,5,11,2,9,4,34,65,7,6,7,4,8,19,10,10,18,3,6,1,Uttar Pradesh-Fatehabad,Fatehabad
7,Narendra Singh,Bhartiya Veer Dal,5,8,5,6,8,12,11,6,3,8,11,7,6,4,11,20,7,7,5,8,6,8,4,19,36,7,18,1,Uttar Pradesh-Fatehabad,Fatehabad
8,Purushottam Das Fauzi Bhai,Aam Aadmi Party,12,11,1,2,10,12,9,6,11,11,10,6,16,5,16,9,6,8,7,17,7,10,7,6,8,12,11,2,Uttar Pradesh-Fatehabad,Fatehabad
9,Rajesh Singh Kushwah,Jan Adhikar Party,31,229,32,41,155,87,58,39,13,37,157,6,63,7,709,933,80,50,7,8,9,268,18,125,378,5,31,2,Uttar Pradesh-Fatehabad,Fatehabad
10,Vijay Singh Dhangar,Rashtriya Shoshit Samaj Party,17,13,11,8,11,6,18,7,10,5,2,4,14,11,29,23,3,1,7,9,8,11,4,9,13,3,4,5,Uttar Pradesh-Fatehabad,Fatehabad
11,Pramod Kumari Kushwah,Independent,6,17,7,10,11,22,23,16,13,13,11,6,13,8,13,16,8,7,7,6,6,19,9,12,12,6,8,2,Uttar Pradesh-Fatehabad,Fatehabad
12,Bhuri,Independent,22,30,25,24,37,42,27,18,10,32,17,11,55,18,23,21,16,21,20,23,15,15,11,20,20,9,18,11,Uttar Pradesh-Fatehabad,Fatehabad
13,Mahinder Singh Verma,Independent,52,81,41,60,39,52,71,45,31,56,37,40,64,43,46,37,35,39,50,31,76,56,32,55,48,43,43,28,Uttar Pradesh-Fatehabad,Fatehabad
14,NOTA,None of the Above,78,113,79,93,87,89,113,78,71,75,75,91,125,104,95,80,78,75,91,76,139,82,77,100,85,96,92,34,Uttar Pradesh-Fatehabad,Fatehabad
