O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,DARA SINGH NISHAD,Bahujan Samaj Party,224,107,211,374,31,263,190,36,15,49,128,158,149,85,438,946,533,671,811,791,284,880,808,181,602,688,458,1021,1163,977,1000,1048,568,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
2,DEVENDRA NISHAD MAHARA,Indian National Congress,51,36,41,27,52,32,24,20,28,44,29,34,24,36,45,56,61,38,44,54,49,38,50,68,44,88,62,52,62,53,44,67,24,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
3,VIJAY BAHADUR YADAV,Samajwadi Party,1913,3290,5345,3957,3645,4624,4423,3241,3673,3789,3882,3218,2428,3783,3411,3032,2967,2071,2368,2276,1624,2825,2155,2003,2734,2938,2425,3156,3375,3175,2740,2669,2143,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
4,BIPIN SINGH,Bharatiya Janata Party,5653,3075,2281,3525,3625,2376,2537,3648,2067,3898,3303,4517,4945,3508,4116,5058,4475,2573,3378,3066,3677,4321,5010,5551,4303,5810,4030,3715,4106,3812,3732,3670,2499,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
5,MOHD. ISLAM,All India Majlis-E-Ittehadul Muslimeen,50,237,430,238,95,126,188,90,94,133,240,118,77,149,171,58,55,33,66,34,39,144,62,35,41,41,67,67,66,76,114,57,21,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
6,GAUTAM,Rashtriya mahan Gantantra Party,3,3,7,7,2,3,2,1,1,1,1,4,0,4,3,10,13,5,11,4,8,15,9,0,7,7,4,8,12,14,9,8,4,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
7,POONAM SINGH,Bharatiya Apna Samaj Party,2,2,3,3,0,1,2,3,1,8,2,7,3,1,8,5,14,11,56,21,9,13,15,7,8,4,10,5,16,4,9,7,2,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
8,PRAMOD,"Rashtrawadi Party of India,",0,1,3,3,1,2,3,1,1,1,5,3,3,6,7,8,8,24,16,6,6,10,12,4,7,9,6,8,15,11,9,10,2,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
9,VINAY KUMAR PANDEY ALIAS SWAMI DR. VINAY,Sarvodaya Bharat Party,6,1,7,4,6,1,5,1,3,2,3,6,3,7,18,16,18,13,14,8,6,16,14,12,16,13,10,3,14,17,13,16,7,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
10,VAIBHAV SHAHI,Aam Aadmi Party,4,9,7,12,10,3,2,3,4,10,5,4,7,8,10,11,8,9,28,39,11,17,11,7,6,9,10,4,13,10,6,10,7,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
11,DR. SHRINARAYAN VISHWAKARMA,Bahujan Mukti Party,7,2,6,2,3,7,6,3,2,2,3,4,3,6,9,10,15,8,14,9,9,11,18,11,13,13,15,13,15,14,6,8,4,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
12,HARISEWAK,Moulik Adhikar Party,11,6,17,13,3,7,12,7,6,13,8,15,12,7,23,55,34,16,33,21,18,24,26,16,26,28,23,23,36,32,41,31,17,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
13,HIFZURRAHMAN AJMAL ANSARI,Peace Party,15,10,56,41,17,8,51,10,14,10,7,24,12,33,60,33,34,18,33,14,14,23,28,11,30,31,21,15,31,38,32,34,32,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
14,GHANSHYAM NISHAD,Independent,7,3,16,15,6,5,7,3,2,6,4,9,8,11,25,50,156,26,31,30,19,26,38,8,29,23,24,23,26,51,39,57,30,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
15,BINDU,Independent,4,2,5,5,2,4,3,4,5,2,5,6,7,1,9,8,20,9,12,7,6,12,12,4,8,21,14,12,12,12,11,14,10,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
16,NOTA,None of the Above,27,21,22,30,17,13,20,23,14,24,28,41,29,18,28,43,43,33,43,43,16,36,59,28,42,44,30,25,46,41,42,37,35,Uttar Pradesh-Gorakhpur Rural,Gorakhpur Rural
