O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,state_city,constituency_from_link
1,RAMESH CHAND,Indian National Congress,43,50,38,41,63,62,53,49,76,55,74,118,154,68,48,62,59,61,82,51,60,58,62,89,68,102,46,52,96,74,69,63,50,Uttar Pradesh-Atrauliya,Atrauliya
2,SAROJ KUMAR,Bahujan Samaj Party,1987,1204,1455,1614,1821,1169,1537,1878,2020,1556,1750,1554,1225,1607,1405,989,1333,1337,1461,919,1539,1559,1796,1716,1449,2121,1698,1632,1985,1622,2017,1286,696,Uttar Pradesh-Atrauliya,Atrauliya
3,DR. SANGRAM,Samajwadi Party,2719,4196,3182,2426,2751,2917,2708,3074,3415,3556,2117,2685,3960,2838,2066,3406,2644,2385,2510,2456,3160,2140,3272,1676,2674,1999,2708,3458,2761,2312,2794,2539,889,Uttar Pradesh-Atrauliya,Atrauliya
4,UMESH KUMAR MAURYA,Jan Adhikar Party,129,74,103,172,37,79,52,129,72,57,31,87,72,57,33,91,92,47,38,38,58,59,97,60,43,43,35,37,41,100,35,53,25,Uttar Pradesh-Atrauliya,Atrauliya
5,PRASHANT SINGH,Nirbal Indian Shoshit Hamara Aam Dal,2298,1901,2837,2445,2155,2622,2503,1466,1843,1992,2177,1938,1994,2950,2717,2907,2211,2557,2714,2630,2205,2219,1586,2699,2521,2037,2323,1741,2296,2244,2189,2153,802,Uttar Pradesh-Atrauliya,Atrauliya
6,RAMESH KUMAR,Aam Aadmi Party,33,30,40,33,43,42,34,29,32,23,47,29,26,52,52,48,37,47,53,37,38,29,34,54,43,29,37,25,29,47,52,23,13,Uttar Pradesh-Atrauliya,Atrauliya
7,RAMDHARI,Rashtriya Bhagidari Party,36,70,56,50,48,112,72,39,67,46,47,44,46,84,57,71,75,75,62,57,52,43,60,75,102,48,44,28,57,60,57,56,14,Uttar Pradesh-Atrauliya,Atrauliya
8,SAURABH NISHAD,Vikassheel Insaan Party,204,27,163,102,48,18,42,24,80,136,57,37,53,101,58,118,111,288,52,9,33,22,183,471,256,365,43,148,99,28,156,94,57,Uttar Pradesh-Atrauliya,Atrauliya
9,RAM DEVI,Independent,31,15,32,28,20,23,37,19,22,23,27,16,25,28,33,26,20,27,20,17,13,24,32,33,30,23,19,22,27,38,32,18,12,Uttar Pradesh-Atrauliya,Atrauliya
10,DR.SEEMA PANDEY,Independent,39,17,24,43,38,32,30,25,30,20,17,15,10,37,27,21,29,23,25,18,14,19,31,31,40,33,25,14,25,33,31,24,9,Uttar Pradesh-Atrauliya,Atrauliya
11,NOTA,None of the Above,37,27,36,43,38,49,53,32,35,28,23,44,47,64,50,60,37,50,50,32,36,31,50,60,51,48,53,34,33,44,63,34,23,Uttar Pradesh-Atrauliya,Atrauliya
