O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,ADITI SINGH,Bharatiya Janata Party,4727,4340,4348,3813,3732,2675,4296,1480,3235,2678,3929,3170,3233,3545,4497,4333,3490,4104,3571,3536,3106,3342,3207,2868,2477,3099,2949,2926,4204,265,799,Uttar Pradesh-Rae Bareli,Rae Bareli
2,MO. ASHRAF,Bahujan Samaj Party,227,303,131,227,414,461,167,21,54,28,40,134,306,154,247,230,167,358,344,348,541,498,490,577,448,771,462,306,651,26,141,Uttar Pradesh-Rae Bareli,Rae Bareli
3,DR. MANISH CHAUHAN,Indian National Congress,309,631,279,198,392,571,472,230,523,401,719,562,756,610,789,670,745,614,325,343,429,486,543,552,590,901,423,246,403,34,138,Uttar Pradesh-Rae Bareli,Rae Bareli
4,RAM PRATAP YADAV,Samajwadi Party,3308,1771,3109,3118,3099,2478,2019,6338,4698,3554,1936,3113,2095,1841,2864,2592,1684,3189,3858,3414,4921,3184,3208,3390,3378,4382,3818,3328,3361,533,713,Uttar Pradesh-Rae Bareli,Rae Bareli
5,GAURAV SINGH,Aam Aadmi Party,22,39,36,29,34,16,25,31,38,20,24,29,30,16,31,27,22,32,33,33,39,24,22,33,38,35,40,31,31,6,2,Uttar Pradesh-Rae Bareli,Rae Bareli
6,PHOOLCHANDRA,Communist Party of India (Marxist-Leninist) (Liberation),9,14,9,5,5,12,9,6,3,4,5,5,6,5,8,2,2,12,15,14,17,12,11,20,14,17,22,25,69,1,2,Uttar Pradesh-Rae Bareli,Rae Bareli
7,MANSINGH PATEL,Akhil Bhartiya Apna Dal,19,16,13,13,13,13,13,6,4,3,3,7,8,7,9,15,1,15,12,25,20,14,11,33,18,18,18,10,13,1,5,Uttar Pradesh-Rae Bareli,Rae Bareli
8,RAGHVENDRA,Hindustan Samaj Party,46,4,4,10,4,9,6,2,2,2,4,4,2,2,5,0,8,11,8,11,10,8,4,9,9,6,9,7,7,0,2,Uttar Pradesh-Rae Bareli,Rae Bareli
9,RADHE SHYAM,Jan Adhikar Party,25,25,46,216,103,14,61,24,35,7,2,12,24,12,28,14,7,175,81,91,22,24,46,52,46,37,32,33,34,1,2,Uttar Pradesh-Rae Bareli,Rae Bareli
10,SURYANATH,Aazad Samaj Party (Kanshi Ram),15,6,16,19,20,13,7,3,3,2,5,4,2,6,8,18,3,23,13,8,18,16,8,11,14,27,17,19,8,2,1,Uttar Pradesh-Rae Bareli,Rae Bareli
11,KULDEEP YADAV,Independent,18,7,17,19,12,16,8,3,6,1,2,2,4,2,5,6,2,11,19,8,19,9,12,27,13,12,28,22,12,3,3,Uttar Pradesh-Rae Bareli,Rae Bareli
12,MAHMOOD AHMAD,Independent,37,28,43,64,31,27,21,26,22,6,6,14,30,11,14,7,2,35,35,41,61,38,31,49,44,44,66,50,45,6,5,Uttar Pradesh-Rae Bareli,Rae Bareli
13,RAM BAHADUR,Independent,21,28,33,23,21,27,16,14,8,7,4,7,16,7,11,6,2,25,23,17,40,13,22,38,21,27,42,27,20,8,9,Uttar Pradesh-Rae Bareli,Rae Bareli
14,SARTAJ ALI,Independent,24,28,24,26,25,20,21,6,7,2,4,5,8,6,8,6,1,24,16,26,39,16,22,27,10,22,22,22,30,1,3,Uttar Pradesh-Rae Bareli,Rae Bareli
15,NOTA,None of the Above,140,91,122,125,113,69,90,26,35,39,38,56,43,40,66,39,38,75,84,97,92,81,111,100,68,74,98,102,91,11,23,Uttar Pradesh-Rae Bareli,Rae Bareli
