O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,state_city,constituency_from_link
1,AJAY PRATAP SINGH,Bharatiya Janata Party,4361,5287,5834,4820,4680,3730,4660,4465,4591,3610,1660,1275,4297,4351,3235,3534,3154,5035,3765,2227,4550,1485,933,4736,3886,5034,4212,3902,2451,2654,1577,8,Uttar Pradesh-Thakurdwara,Thakurdwara
2,NAVAB JAN,Samajwadi Party,3231,2848,2072,2582,3293,5763,3162,3448,3291,4154,8395,8664,3419,3275,4758,4099,4276,3867,3461,4935,4558,5442,7379,3595,4582,2986,3249,3512,5967,5785,3083,653,Uttar Pradesh-Thakurdwara,Thakurdwara
3,MUJAHID ALI,Bahujan Samaj Party,534,880,752,641,798,474,1127,339,698,262,100,185,1702,1088,461,1188,1006,703,816,846,555,753,474,421,494,679,1444,965,535,669,448,4,Uttar Pradesh-Thakurdwara,Thakurdwara
4,SALMA AAGA,Indian National Congress,31,29,17,24,32,73,33,71,46,70,185,130,39,25,41,18,45,36,28,52,36,83,139,31,30,34,44,17,20,22,14,4,Uttar Pradesh-Thakurdwara,Thakurdwara
5,JALALUDDIN,Aazad Samaj Party (Kanshi Ram),11,5,8,10,4,9,10,7,4,3,9,17,40,17,9,11,7,8,8,9,15,15,7,4,22,16,14,6,12,29,6,1,Uttar Pradesh-Thakurdwara,Thakurdwara
6,SHAH FAISAL ANSARI,Aam Aadmi Party,7,9,23,10,7,4,7,5,5,10,52,21,10,5,4,8,7,5,5,5,13,4,20,14,8,14,15,6,6,5,3,0,Uttar Pradesh-Thakurdwara,Thakurdwara
7,SURAJ SINGH,Rashtriya Samanta Dal,4,9,9,9,10,5,4,6,3,3,4,10,3,6,5,4,4,2,3,2,3,7,2,5,9,4,8,6,8,4,5,0,Uttar Pradesh-Thakurdwara,Thakurdwara
8,ABID,Independent,4,7,10,8,2,5,7,6,2,3,4,10,6,3,2,5,5,3,5,1,6,5,5,7,4,2,13,5,5,2,2,0,Uttar Pradesh-Thakurdwara,Thakurdwara
9,MOHD JAVED,Independent,36,10,9,11,10,7,13,14,10,6,9,16,10,9,7,9,12,16,7,6,9,9,20,10,18,6,32,6,7,9,10,0,Uttar Pradesh-Thakurdwara,Thakurdwara
10,SHAHNAWAJ,Independent,10,13,12,12,18,15,6,11,10,12,17,17,8,9,12,20,14,13,9,11,14,23,22,13,12,12,19,12,17,13,12,2,Uttar Pradesh-Thakurdwara,Thakurdwara
11,NOTA,None of the Above,18,33,39,27,27,42,28,25,25,24,30,39,40,41,38,35,38,27,35,32,36,44,44,38,33,35,44,36,35,31,35,0,Uttar Pradesh-Thakurdwara,Thakurdwara
