O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,state_city,constituency_from_link
1,Anil Kumar,Rashtriya Lok Dal,3188,2047,4104,3633,2859,3356,5893,5156,2388,1398,1700,2363,6686,4178,4339,2129,4614,4594,3236,2702,4297,2215,3796,5805,2325,1802,1524,Uttar Pradesh-Purqazi,Purqazi 
2,Deepak Kumar,Indian National Congress,46,86,79,91,28,68,76,64,65,72,78,201,76,60,56,78,51,57,37,43,50,50,68,45,42,45,37,Uttar Pradesh-Purqazi,Purqazi 
3,Pramod Utwal,Bharatiya Janata Party,3601,4311,2727,2776,3360,3475,2551,1779,4729,5119,4992,4209,469,2940,2007,4068,2167,2653,3589,2887,3853,4926,2325,1306,3274,3829,1765,Uttar Pradesh-Purqazi,Purqazi 
4,Surendra Pal Singh,Bahujan Samaj Party,1065,1555,1024,1581,780,1025,465,181,136,291,1065,1476,437,1315,528,1578,484,404,1063,1081,1231,1481,1958,176,1932,1530,1858,Uttar Pradesh-Purqazi,Purqazi 
5,Anil Kumar,Aam Aadmi Party,28,28,15,13,16,18,23,22,13,15,29,75,22,15,13,22,10,12,12,13,15,24,37,18,19,33,26,Uttar Pradesh-Purqazi,Purqazi 
6,Uma Kiran,Aazad Samaj Party (Kanshi Ram),103,76,38,28,15,71,38,33,7,17,27,60,93,36,65,36,63,21,407,58,45,208,168,198,79,252,72,Uttar Pradesh-Purqazi,Purqazi 
7,Kavita,Bahujan Mukti Party,9,14,15,36,11,2,19,11,5,1,6,10,27,160,46,22,10,20,25,7,44,23,66,41,18,24,16,Uttar Pradesh-Purqazi,Purqazi 
8,Sunita,Majdoor Kisan Union Party,9,14,13,15,16,8,18,12,3,5,9,16,10,14,15,11,5,9,13,7,11,15,14,18,15,25,7,Uttar Pradesh-Purqazi,Purqazi 
9,Neelam Devi,Independent,20,42,16,21,20,28,29,17,8,7,16,28,17,19,24,28,17,24,24,23,26,32,34,21,45,41,19,Uttar Pradesh-Purqazi,Purqazi 
10,Mukesh Kumar,Independent,32,24,18,26,29,33,35,12,4,15,12,38,14,30,37,26,20,26,47,28,37,36,67,102,57,53,26,Uttar Pradesh-Purqazi,Purqazi 
11,Suneel Kumar,Independent,11,16,7,8,6,10,12,11,2,1,3,15,13,10,13,21,13,8,14,24,17,14,18,21,29,28,8,Uttar Pradesh-Purqazi,Purqazi 
12,NOTA,None of the Above,41,31,19,25,24,29,50,45,23,15,27,33,37,40,42,37,15,38,42,29,33,46,44,48,38,44,23,Uttar Pradesh-Purqazi,Purqazi 
