O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,state_city,constituency_from_link
1,ANKIT SHAMAR,Bahujan Samaj Party,283,629,844,853,461,157,294,217,367,80,52,446,629,649,613,452,492,807,453,271,644,642,320,528,Uttar Pradesh-Baraut,Baraut
2,KRISHAN PAL MALIK,Bharatiya Janata Party,3170,3024,3784,2823,3053,3242,5448,1622,3655,4191,5160,4176,3106,3374,2694,2720,3868,4423,3427,5132,4402,4972,5634,2967,Uttar Pradesh-Baraut,Baraut
3,JAIVEER,Rashtriya Lok Dal,3468,5005,3070,3615,3750,5605,3359,6447,4558,3781,2763,2740,3542,4341,4883,5139,2554,3435,4393,3580,4024,3050,1609,1161,Uttar Pradesh-Baraut,Baraut
4,RAHUL KUMAR,Indian National Congress,88,95,121,61,48,47,71,43,45,48,31,42,187,92,82,274,68,89,39,44,45,120,45,15,Uttar Pradesh-Baraut,Baraut
5,SUDHIR,Aam Aadmi Party,51,27,23,21,14,35,41,20,32,18,14,33,31,31,28,22,18,44,24,27,52,45,35,13,Uttar Pradesh-Baraut,Baraut
6,RENU BALA,Independent,15,8,13,22,16,9,11,6,5,11,7,11,14,12,9,15,13,12,11,16,16,18,17,7,Uttar Pradesh-Baraut,Baraut
7,NOTA,None of the Above,24,21,30,31,13,21,26,15,16,23,10,46,17,24,23,34,15,27,23,22,30,39,27,17,Uttar Pradesh-Baraut,Baraut
