O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,R-32,R-33,R-34,R-35,R-36,state_city,constituency_from_link
1,Kailash Sahu,Bahujan Samaj Party,749,954,934,711,387,407,362,351,105,122,276,191,409,240,449,1005,492,368,170,300,164,487,495,576,837,968,1297,946,1111,675,936,50,13,21,131,9,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
2,Ravi Sharma,Bharatiya Janata Party,4578,4264,4882,4877,5280,5128,4584,4831,4931,4653,4313,4277,6047,6299,6520,4037,5180,4777,3900,3719,4441,4136,5033,4401,4072,4121,5739,4108,4440,5353,2780,401,432,357,360,353,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
3,Rahul Richhariya,Indian National Congress,173,249,314,358,273,265,367,259,201,262,148,134,242,236,223,167,216,248,303,300,425,280,313,374,316,341,391,361,557,274,97,26,19,50,13,22,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
4,Sita Ram Kushwaha,Samajwadi Party,2263,1803,1535,1143,1597,2283,2761,2806,1448,2695,3831,3269,1476,1283,2098,2949,2008,2836,4796,3173,1242,2506,2155,2040,2653,2039,1723,2732,1684,1830,1925,95,148,216,102,205,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
5,Dhirendra Kumar Mahor,Rashtriya Sarvajan Party,16,18,17,11,12,25,17,24,8,15,25,35,13,17,20,28,14,20,47,22,5,23,10,14,30,35,13,30,17,35,20,0,1,0,1,1,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
6,B.L. Bhaskar,Aam Aadmi Party,8,23,32,42,25,16,21,16,13,10,10,11,9,23,19,23,23,20,14,14,17,30,21,28,27,41,38,23,33,15,15,2,0,3,0,1,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
7,Sharad Pratap Singh,Bundelkhand Kranti Dal,7,11,5,4,4,14,10,12,5,42,7,6,5,10,15,7,2,3,12,4,9,5,5,2,9,7,13,4,5,20,4,1,2,3,1,0,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
8,Sadik Ali,All India Majlis-E-Ittehadul Muslimeen,13,23,34,31,70,46,54,35,35,47,73,65,15,14,43,91,77,61,252,101,19,78,204,71,124,92,58,362,28,45,40,3,0,9,1,6,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
9,Sanjeev Kumar Singh,Right to Recall Party,10,13,6,7,7,4,8,2,2,6,10,6,2,6,13,20,3,11,9,5,3,4,7,8,5,9,12,9,11,25,20,0,0,1,1,0,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
10,Anoop Singh,Independent,20,20,27,6,7,11,11,14,2,10,16,10,3,12,13,11,11,11,9,4,7,16,4,7,10,15,28,11,16,29,29,1,0,0,1,0,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
11,NOTA,None of the Above,43,47,48,33,41,48,43,29,33,58,28,32,57,51,54,31,30,43,35,31,52,38,54,42,43,50,54,45,37,58,43,2,1,6,5,4,Uttar Pradesh-Jhansi Nagar,Jhansi Nagar
