O.S.N.,Candidate,Party,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,R-10,R-11,R-12,R-13,R-14,R-15,R-16,R-17,R-18,R-19,R-20,R-21,R-22,R-23,R-24,R-25,R-26,R-27,R-28,R-29,R-30,R-31,state_city,constituency_from_link
1,ANUJ SHARMA,Indian National Congress,67,114,144,80,56,69,168,405,128,84,126,113,144,195,205,209,223,274,157,409,340,120,105,136,111,110,130,149,155,125,9,Uttar Pradesh-Agra South,Agra South
2,YOGENDRA UPADHYAYA,Bharatiya Janata Party,3499,3027,4742,4217,1566,3939,4263,4501,3973,2906,5737,3698,4529,3971,5384,4441,5604,4352,3396,2387,2086,863,864,4222,3321,2735,3643,3949,3072,3793,321,Uttar Pradesh-Agra South,Agra South
3,RAVI BHARADWAJ,Bahujan Samaj Party,2830,2707,1111,2076,399,2004,1904,928,1179,3203,342,374,674,2095,513,803,456,376,926,580,420,1982,2336,317,290,472,994,1198,2272,1731,626,Uttar Pradesh-Agra South,Agra South
4,VINAY AGARWAL,Samajwadi Party,460,584,1255,779,4604,1458,1337,1454,1724,520,772,2812,1346,1516,1386,1724,895,1219,1992,3031,3415,2701,3608,987,2546,3194,1224,1250,1363,1225,86,Uttar Pradesh-Agra South,Agra South
5,ALAMGIR,Peace Party,5,5,9,9,53,18,6,10,12,5,7,9,13,23,13,19,5,7,13,19,17,32,38,4,16,17,4,8,11,11,1,Uttar Pradesh-Agra South,Agra South
6,MOHD KAMIL,Indian Union Muslim League,0,4,4,5,5,3,2,4,5,1,3,7,1,4,3,8,7,3,1,10,6,4,6,5,4,6,4,3,4,8,0,Uttar Pradesh-Agra South,Agra South
7,DEREK SMITH,Adarsh Samaj Party,2,4,1,4,2,4,5,3,4,5,1,1,3,2,4,9,6,6,5,4,1,2,3,3,2,5,6,2,3,2,1,Uttar Pradesh-Agra South,Agra South
8,PREM SINGH,Lokpriya Rashtrawadi Party,6,24,136,25,8,37,25,7,8,5,1,11,27,42,12,14,6,4,8,10,5,6,8,1,5,8,3,3,7,6,3,Uttar Pradesh-Agra South,Agra South
9,RAMJANI,Aam Aadmi Party,53,39,22,47,17,35,72,34,47,48,26,8,24,46,39,52,64,26,17,13,8,13,18,12,9,17,16,42,48,38,5,Uttar Pradesh-Agra South,Agra South
10,RASHID ALI CHOUDHARY,Aazad Samaj Party (Kanshi Ram),13,20,9,31,39,22,21,18,18,11,12,13,26,32,44,35,25,8,20,16,15,32,24,2,2,5,10,5,12,19,7,Uttar Pradesh-Agra South,Agra South
11,NOTA,None of the Above,23,43,35,33,25,34,43,32,43,27,53,23,30,66,33,29,25,35,29,17,24,15,29,25,22,19,33,29,35,32,5,Uttar Pradesh-Agra South,Agra South
